id,slug,brand,name,concentration,gender,family,subfamily,launch_year,perfumer,country,description,top_notes,middle_notes,base_notes,accords,season,occasion,longevity,sillage,price_segment,amazon_url,source_url,image_url,image_source,affiliate_status,source_verified,data_confidence,visual_quality,review_status,seo_title,seo_description,status,notes,created_at,updated_at
11,invictus-edt,Paco Rabanne,Invictus,EDT,masculino,amaderado acuatico,pending,2013,Veronique Nyberg; Anne Flipo; Olivier Polge; Dominique Ropion,Espana,Amaderado acuático deportivo; uno de los masculinos más vendidos de la marca.,notas marinas;pomelo;mandarina,laurel;jazmin (hedione),ambar gris;madera de guayaco;musgo de roble;pachuli,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Rabanne/Invictus-18471.html,pending,pending,no-applicable,true,medium,not-audited,pending,Paco Rabanne Invictus,Amaderado acuático deportivo; uno de los masculinos más vendidos de la marca.,draft,"Datos de Fragrantica (fuente secundaria), equipo de 4 perfumistas confirmado por esa fuente. price_segment sin fuente confiable.",2026-08-07,2026-08-07
12,wanted-edt,Azzaro,Wanted,EDT,masculino,amaderado especiado,pending,2016,Fabrice Pellegrin; Olivier Cresp,Francia,Amaderado especiado masculino con imagen de héroe de western moderno.,limon;jengibre;lavanda;menta,cardamomo de guatemala;enebro;manzana;geranio,vetiver haitiano;haba tonka;madera ambarada,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Azzaro/Wanted-38686.html,pending,pending,no-applicable,true,medium,not-audited,pending,Azzaro Wanted,Amaderado especiado masculino con imagen de héroe de western moderno.,draft,"Existe también Azzaro Wanted EDP, producto distinto — se registró específicamente la versión EDT. Datos de Fragrantica (secundaria). price_segment sin fuente confiable.",2026-08-07,2026-08-07
13,boss-bottled-edt,Hugo Boss,Boss Bottled,EDT,masculino,oriental fougere,pending,1998,Annick Ménardo; Christian Dussoulier,Alemania,Fougère oriental clásico masculino; uno de los más reconocibles de la marca desde los 90.,pending,pending,pending,ciruela;musgo de roble;manzana;limon;bergamota;geranio;caoba;clavo;canela;sandalo;oliva;vainilla;vetiver,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Bottled-383.html,pending,pending,no-applicable,true,low,not-audited,pending,Hugo Boss Boss Bottled,Fougère oriental clásico masculino; uno de los más reconocibles de la marca desde los 90.,draft,"CONFLICTO DE PIRÁMIDE NO RESUELTO: dos versiones de la pirámide top/middle/base aparecieron en fuentes secundarias con inconsistencias entre sí (una incluye musgo de roble/ámbar/almizcle en base, otra no). Se optó por NO forzar ninguna de las dos versiones conflictivas como definitiva — se registró la unión de notas mencionadas como 'accords' sin nivel, y top/middle/base quedan pending hasta re-verificación directa contra fuente única confiable. Requiere segunda pasada dedicada si se prioriza este registro.",2026-08-07,2026-08-07
14,chloe-edp,Chloé,Chloé,EDP,femenino,pending,pending,2008,Amandine Clerc-Marie; Michel Almairac,Francia,Floral rosado epónimo de la maison; elegancia parisina en un frasco icónico color rosa pálido.,peonia;lichi;fresia,rosa;lirio de los valles;magnolia,cedro de virginia;ambar,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Chloe/Chloe-Eau-de-Parfum-1733.html ; https://www.chloe.com/us/fragrance_cod46467853gk.html,pending,pending,no-applicable,true,medium,not-audited,pending,Chloé Chloé,Floral rosado epónimo de la maison; elegancia parisina en un frasco icónico color rosa pálido.,draft,Family no confirmada con clasificación formal en ninguna fuente. price_segment sin fuente confiable.,2026-08-07,2026-08-07
15,tresor-edp,Lancôme,Trésor,EDP,femenino,floral pending,pending,1990,Sophia Grojsman,Francia,Floral romántico icónico de los 90; frasco dorado símbolo de feminidad clásica.,durazno;rosa;flor de albaricoque;lila;piña;lirio de los valles;bergamota,rosa;iris;heliotropo;jazmin,durazno;albaricoque;sandalo;vainilla;ambar;almizcle,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Lancome/Tresor-172.html,pending,pending,no-applicable,true,medium,not-audited,pending,Lancôme Trésor,Floral romántico icónico de los 90; frasco dorado símbolo de feminidad clásica.,draft,"Family sin clasificación formal confirmada en fuente consultada, se registró descripción parcial. price_segment sin fuente confiable.",2026-08-07,2026-08-07
16,mon-guerlain-edp,Guerlain,Mon Guerlain,EDP,femenino,ambarado amaderado,pending,2017,Thierry Wasser; Delphine Jelk,Francia,Ambarado amaderado moderno; primera fragancia femenina compuesta específicamente con Angelina Jolie como imagen.,lavanda;bergamota,iris;jazmin sambac;rosa,vainilla de tahiti;cumarina;sandalo australiano;regaliz;benjui;pachuli,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-43297.html,pending,pending,no-applicable,true,medium,not-audited,pending,Guerlain Mon Guerlain,Ambarado amaderado moderno; primera fragancia femenina compuesta específicamente con Angelina Jolie como imagen.,draft,"Datos de Fragrantica (fuente secundaria), family confirmada por esa fuente. price_segment sin fuente confiable.",2026-08-07,2026-08-07
17,beautiful-edp,Estée Lauder,Beautiful,EDP,femenino,floral,pending,1985,Sophia Grojsman; Bernard Chant; Max Gavarry,Estados Unidos,Floral clásico de los 80; una de las fragancias femeninas más longevas del catálogo Estée Lauder.,rosa;mandarina;lirio;tuberosa;caléndula,azahar;muguet;jazmin;ylang-ylang,sandalo;vetiver;ambar,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Estee-Lauder/Beautiful-528.html ; https://www.esteelauder.com/product/9780/2116/product-catalog/fragrance/fragrance-collections/beautiful/beautiful/eau-de-parfum-spray,pending,pending,no-applicable,true,medium,not-audited,pending,Estée Lauder Beautiful,Floral clásico de los 80; una de las fragancias femeninas más longevas del catálogo Estée Lauder.,draft,Equipo de 3 perfumistas confirmado por Fragrantica. price_segment sin fuente confiable.,2026-08-07,2026-08-07
18,philosykos-edt,Diptyque,Philosykos,EDT,unisex,pending,pending,1996,pending,Francia,"Verde acuoso de higuera; evoca el mediterráneo con hoja, savia y madera de higuera.",pending,pending,pending,hoja de higuera;savia de higuera;madera de higuera;pimienta negra,pending,pending,pending,pending,premium,pending,https://us.diptyqueparis.com/en-us/products/eau-de-toilette-philosykos-philo100v2,pending,pending,no-applicable,true,high,not-audited,pending,Diptyque Philosykos,"Verde acuoso de higuera; evoca el mediterráneo con hoja, savia y madera de higuera.",draft,"Confirmado en sitio oficial: Diptyque NO separa por niveles top/middle/base para este producto — publica lista plana de 4 notas. Se preserva esa realidad, no se fuerza pirámide. Precio confirmado oficial: $145/50ml, $195/100ml.",2026-08-07,2026-08-07
19,do-son-edt,Diptyque,Do Son,EDT,femenino,pending,pending,2005,pending,Francia,"Floral blanco marino; tuberosa sobre brisa de mar, evocando el jardín natal de sus fundadores en Vietnam.",pending,pending,pending,tuberosa;jazmin;azahar,pending,pending,pending,pending,pending,pending,https://www.diptyqueparis.com/en_us/p/do-son-eau-de-toilette-1.html,pending,pending,no-applicable,true,medium,not-audited,pending,Diptyque Do Son,"Floral blanco marino; tuberosa sobre brisa de mar, evocando el jardín natal de sus fundadores en Vietnam.",draft,"Confirmado en sitio oficial: sin pirámide por niveles, descripción narrativa de 3 notas. Existe también versión EDP, distinta — se registró específicamente EDT. price_segment sin precio confiable capturado.",2026-08-07,2026-08-07
20,portrait-of-a-lady-edp,Frederic Malle,Portrait of a Lady,EDP,femenino,floral chipre,pending,2010,Dominique Ropion,Francia,"Chipre floral opulento; rosa intensa sobre pachulí, uno de los perfumes de nicho más aclamados de la década 2010.",rosa,grosella negra;frambuesa;clavo,pachuli;sandalo;incienso,pending,pending,pending,pending,pending,lujo,pending,https://www.fredericmalle.com/product/19566/50241/parfums/portrait-of-a-lady/by-dominique-ropion,pending,pending,no-applicable,true,high,not-audited,pending,Frederic Malle Portrait of a Lady,"Chipre floral opulento; rosa intensa sobre pachulí, uno de los perfumes de nicho más aclamados de la década 2010.",draft,"Family confirmada en sitio oficial. Pirámide confirmada en sección 'Details' del sitio oficial; nota: la sección 'Description' del mismo sitio da una versión resumida distinta — se usó la versión más granular ('Details'). Precio oficial confirmado: $295/50ml, $470/100ml.",2026-08-07,2026-08-07
21,musc-ravageur-edp,Frederic Malle,Musc Ravageur,EDP,unisex,ambarado,pending,2000,Maurice Roucel,Francia,Ambarado almizclado sensual; uno de los primeros lanzamientos de la casa Frederic Malle.,lavanda;mandarina;bergamota;cilantro;neroli,canela;clavo;raiz de orris;rosa;osmanthus,musgo;vainilla;haba tonka;ambar;sandalo;guayaco;cedro;notas animales;pachuli,pending,pending,pending,pending,pending,lujo,pending,https://www.fredericmalle.com/musc-ravageur,pending,pending,no-applicable,true,medium,not-audited,pending,Frederic Malle Musc Ravageur,Ambarado almizclado sensual; uno de los primeros lanzamientos de la casa Frederic Malle.,draft,"El sitio oficial vigente NO publica pirámide con niveles para este producto — solo describe 'almizcles, puntuados con ámbar, vainilla, pachulí y sándalo'. La pirámide completa reportada proviene de Fragrantica (fuente secundaria), documentada así explícitamente. Precio oficial confirmado: $275/50ml, $410/100ml.",2026-08-07,2026-08-07
22,ambre-sultan-edp,Serge Lutens,Ambre Sultan,EDP,unisex,pending,pending,1993,pending,Francia,"Ambarado herbal especiado; una de las composiciones más veneradas de Serge Lutens, sin concesión a la dulzura fácil.",pending,pending,pending,resinas;ambar;laurel;mirra;benjui;sandalo;vainilla;cilantro;oregano;pachuli;angelica;mirto,pending,pending,pending,pending,pending,pending,https://sergelutens.com/products/ambre-sultan-eau-de-parfum-spray,pending,pending,no-applicable,true,low,not-audited,pending,Serge Lutens Ambre Sultan,"Ambarado herbal especiado; una de las composiciones más veneradas de Serge Lutens, sin concesión a la dulzura fácil.",draft,"El sitio oficial NO publica desglose de notas para este producto. La lista de notas (sin pirámide, sin niveles) proviene únicamente de fuentes secundarias (Fragrantica/Parfumo), no confirmada en oficial — perfumer (Christopher Sheldrake) tampoco confirmado en oficial. data_confidence bajo por depender enteramente de fuente secundaria para notas y perfumista.",2026-08-07,2026-08-07
23,wonderwood-edp,Comme des Garçons,Wonderwood,EDP,masculino,amaderado,pending,2010,Antoine Lie,pending,Amaderado seco y ahumado; interpretación conceptual y arquitectónica de la madera por Comme des Garçons.,bergamota;alcaravea,pimienta de madagascar;nuez moscada;pachuli,cedro de virginia;sandalo;cipres;vetiver;madera de guayaco;incienso;agarwood (oud);cashmeran,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Comme-des-Garcons/Wonderwood-8991.html,pending,pending,no-applicable,true,low,not-audited,pending,Comme des Garçons Wonderwood,Amaderado seco y ahumado; interpretación conceptual y arquitectónica de la madera por Comme des Garçons.,draft,"REEMPLAZO DE CONCENTRACIÓN: el encargo original pedía 'Wonderwood Eau de Toilette', que no se pudo confirmar como existente en ninguna fuente consultada — todas las fuentes documentan únicamente Eau de Parfum (2010). Se sustituyó por la EDP real. Notas sin verificar en sitio oficial de CDG parfums (no se accedió en esta investigación) — datos de Fragrantica, fuente secundaria únicamente. country NO VERIFICADO.",2026-08-07,2026-08-07
24,colonia-edc,Acqua di Parma,Colonia,EDC,unisex,citrico,pending,1916,pending,Italia,"Cítrico clásico italiano desde 1916; la fragancia fundacional de la maison, elegancia atemporal.",limon;naranja dulce;bergamota de calabria,lavanda;rosa;verbena;romero,vetiver;sandalo;pachuli,pending,pending,pending,pending,pending,pending,pending,https://www.acquadiparma.com/default/en/colonia---splash/COLONIAEDCSPLASH.html ; https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-1681.html,pending,pending,no-applicable,true,low,not-audited,pending,Acqua di Parma Colonia,"Cítrico clásico italiano desde 1916; la fragancia fundacional de la maison, elegancia atemporal.",draft,"Perfumista atribuido a 'Baron Carlo Magnani' es una atribución histórica de fuente secundaria (creador original de la fórmula en 1916, no un perfumista profesional en sentido moderno) — no confirmado en sitio oficial directamente. Pirámide de notas de fuente secundaria (Fragrantica), no verificada línea por línea en acquadiparma.com. price_segment sin precio confiable capturado.",2026-08-07,2026-08-07
25,halfeti-edp,Penhaligon's,Halfeti,EDP,unisex,pending,pending,2015,pending,Reino Unido,Oriental amaderado inspirado en la ciudad turca sumergida de Halfeti; rosa búlgara sobre oud y cuero.,hoja de ciprés;azafran;cardamomo;artemisa;bergamota;pomelo,rosa bulgara;nuez moscada;jazmin,agarwood (oud);cedro;cuero;sandalo;ambar;haba tonka;vainilla;almizcle,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Penhaligon-s/Halfeti-31396.html,pending,pending,no-applicable,true,low,not-audited,pending,Penhaligon's Halfeti,Oriental amaderado inspirado en la ciudad turca sumergida de Halfeti; rosa búlgara sobre oud y cuero.,draft,"No se accedió a penhaligons.com directamente en esta investigación — todos los datos (family, launch_year, perfumer, notas) provienen únicamente de Fragrantica, fuente secundaria. data_confidence bajo por falta de confirmación en fuente oficial.",2026-08-07,2026-08-07
26,no1-masculine-parfum,Clive Christian,No. 1 Masculine,Parfum,masculino,amaderado floral polvoriento,pending,2001,pending,Reino Unido,Amaderado floral de ultra lujo; sándalo envejecido 50 años como nota distintiva de la casa británica.,cardamomo;nuez moscada;lima;paprika;artemisa;mandarina;pomelo;alcaravea,iris;ylang-ylang;jazmin;lirio de los valles;heliotropo;rosa,sandalo (envejecido 50 años);ambar;almizcle;vainilla;haba tonka;cedro de virginia;vetiver,pending,pending,pending,pending,pending,lujo,pending,https://us.clivechristian.com/products/no1-masculine ; https://www.parfumo.com/Perfumes/Clive_Christian/no-1-for-men,pending,pending,no-applicable,true,low,not-audited,pending,Clive Christian No. 1 Masculine,Amaderado floral de ultra lujo; sándalo envejecido 50 años como nota distintiva de la casa británica.,draft,"Existen versión masculina y femenina de 'No. 1', lanzadas juntas en 2001 — se registró la masculina por mayor prominencia en el sitio oficial. Concentración 'Parfum' NO confirmada al 100% como extrait puro — el sitio no especifica el porcentaje de concentración explícitamente. Pirámide de notas de fuente secundaria (Parfumo), no confirmada en clivechristian.com directamente. Perfumista no encontrado en ninguna fuente. data_confidence bajo.",2026-08-07,2026-08-07
27,more-than-words-edp,Xerjoff,More Than Words,EDP,unisex,amaderado floral,pending,2012,pending,Italia,De la colección 'Join The Club'; una fragancia cuyas notas la marca mantiene deliberadamente en secreto.,NO VERIFICADO - marca no divulga,NO VERIFICADO - marca no divulga,NO VERIFICADO - marca no divulga,pending,pending,pending,pending,pending,lujo,pending,https://www.xerjoff.com/en-us/products/more-than-words-eau-de-parfum,pending,pending,no-applicable,true,medium,not-audited,pending,Xerjoff More Than Words,De la colección 'Join The Club'; una fragancia cuyas notas la marca mantiene deliberadamente en secreto.,draft,"REEMPLAZO DE PRODUCTO INEXISTENTE: el encargo original pedía 'Xerjoff More Than Water', que NO EXISTE en el catálogo de la marca — verificado negativo en xerjoff.com. Se sustituyó por 'More Than Words', producto real de la misma marca y colección. IMPORTANTE: Xerjoff declara explícitamente en su ficha de producto que las notas de toda la colección 'Join The Club' son secreto guardado — no se reporta ninguna lista de notas de terceros como si fuera oficial. family='Woody, Floral' es el 'Scent Profile' textual de la propia marca (no tag de navegación). Perfumista y launch_year solo confirmados por fuente secundaria consistente, no por xerjoff.com. Precio oficial confirmado: $174/50ml, $281/100ml.",2026-08-07,2026-08-07
28,jubilation-xxv-man-edp,Amouage,Jubilation XXV Man,EDP,masculino,amaderado,pending,2007,Bertrand Duchaufour,Oman,Amaderado oriental de aniversario; complejidad especiada y resinosa característica de la alta perfumería de Amouage.,labdano;cilantro;naranja;davana;incienso;mora,miel;laurel;canela;orquidea;rosa;clavo;semillas de apio;madera de guayaco,pachuli;opoponax;mirra;cedro;almizcle;musgo;ambar gris;oud;siempreviva,pending,pending,pending,pending,pending,lujo,pending,https://amouage.com/products/jubilation-xxv-man,pending,pending,no-applicable,true,high,not-audited,pending,Amouage Jubilation XXV Man,Amaderado oriental de aniversario; complejidad especiada y resinosa característica de la alta perfumería de Amouage.,draft,"Family y pirámide completa confirmadas en sitio oficial amouage.com. Perfumista (Bertrand Duchaufour) y launch_year (2007) no confirmados explícitamente en la ficha oficial consultada, aunque son atribución pública ampliamente documentada — marcado como fuente secundaria para esos dos campos específicos. Precio oficial confirmado: $395/100ml.",2026-08-07,2026-08-07
29,jubilation-25-woman-edp,Amouage,Jubilation 25 Woman,EDP,femenino,floral aldehido,aldehido,pending,Lucas Sieuzac,Oman,"Floral aldehído de aniversario; contraparte femenina de Jubilation, con rosa y azafrán sobre resinas.",estragon;rosa;limon;ylang-ylang,davana;labdano;rosa;incienso,ambar;almizcle;vetiver;mirra;pachuli,pending,pending,pending,pending,pending,lujo,pending,https://amouage.com/products/jubilation-25-woman,pending,pending,no-applicable,true,high,not-audited,pending,Amouage Jubilation 25 Woman,"Floral aldehído de aniversario; contraparte femenina de Jubilation, con rosa y azafrán sobre resinas.",draft,"Nombre exacto confirmado en sitio oficial: 'Jubilation 25 Woman' (no 'Jubilation Woman'). Family y subfamily (Floral | Aldehyde) y perfumista (Lucas Sieuzac, con biografía incluida en la ficha) confirmados en sitio oficial. launch_year NO aparece en la página de producto consultada — queda pending. Precio oficial confirmado: $395/100ml.",2026-08-07,2026-08-07
30,angels-share-edp,By Kilian,Angels' Share,EDP,unisex,pending,pending,2020,Benoist Lapouza,Francia,Gourmand amaderado de la colección 'The Liquors'; cognac y roble evocando una bodega de añejamiento.,cognac,roble;canela,haba tonka;sandalo,pending,pending,pending,pending,pending,lujo,pending,https://www.bykilian.com/product/19797/82905/perfume/angels-share/the-liquors,pending,pending,no-applicable,true,medium,not-audited,pending,By Kilian Angels' Share,Gourmand amaderado de la colección 'The Liquors'; cognac y roble evocando una bodega de añejamiento.,draft,"Pirámide de 5 notas confirmada en sitio oficial (coexiste con un resumen de 3 'notas principales': cognac, haba tonka, roble). Nombre del perfumista aparece con dos grafías distintas en el propio sitio ('Benoist Lapouza' en créditos formales, 'Benoit Lapouza' en otra sección) — se usó la grafía de la sección de créditos. launch_year de fuente secundaria (Fragrantica), no confirmado en oficial. price_segment sin precio unitario claro capturado (sitio muestra múltiples formatos sin precio único).",2026-08-07,2026-08-07
