candidate_id,brand,name,concentration,launch_year,stratum,difficulty,priority,official_domain
c231,Essential Parfums,Nice Bergamote,,,niche,normal,90,essentialparfums.com
c232,BDK Parfums,Pas Ce Soir,,,niche,normal,90,bdkparfums.com
c233,Goldfield & Banks,Silky Woods,,,niche,normal,90,goldfieldandbanks.com
c234,Maison Crivelli,Santal Volcanique,,,hard_case,hard,90,maisoncrivelli.com
c235,Marc-Antoine Barrois,B683 Extrait,,,niche,normal,90,marcantoinebarrois.com
c236,Liquides Imaginaires,Bloody Wood,,,niche,normal,90,liquidesimaginaires.com
c237,Memo Paris,French Leather,,,niche,normal,90,memoparis.com
c238,Penhaligon's,Halfeti Cedar,,,niche,normal,90,penhaligons.com
c239,Acqua di Parma,Colonia Pura,,,mainstream,normal,90,acquadiparma.com
c240,Bvlgari,Bvlgari Man Terrae Essence,,,mainstream,normal,90,bulgari.com
c241,Carolina Herrera,Bad Boy Le Parfum,,,mainstream,normal,90,carolinaherrera.com
c242,Azzaro,Wanted Eau de Parfum,,,mainstream,normal,90,azzaro.com
c243,Viktor&Rolf,Spicebomb Night Vision Eau de Toilette,,,mainstream,normal,90,viktor-rolf.com
c244,Mugler,Alien,,,mainstream,normal,90,mugler.com
c245,Narciso Rodriguez,For Her Eau de Parfum,,,mainstream,normal,90,narcisorodriguezparfums.com
c246,Jo Malone London,English Pear & Freesia,,,mainstream,normal,90,jomalone.com
c247,Byredo,Gypsy Water,,,niche,normal,90,byredo.com
c248,Maison Margiela,Replica By the Fireplace,,,niche,normal,90,maisonmargiela-fragrances.us
c249,Aesop,Eidesis,,,niche,normal,90,aesop.com
c250,Escentric Molecules,Molecule 01 + Iris,,,nonstandard_notes,hard,90,escentric.com
c251,Juliette Has a Gun,Vanilla Vibes,,,niche,normal,90,juliettehasagun.com
c252,Comme des Garçons,2 Man,,,nonstandard_notes,hard,90,commedesgarconsparfums.com
c253,Guerlain,L'Homme Idéal Eau de Parfum,,,mainstream,normal,90,guerlain.com
c254,Hermès,Terre d'Hermès Parfum,,,mainstream,normal,90,hermes.com
c255,Louis Vuitton,L'Immensité,,,mainstream,normal,90,us.louisvuitton.com
c256,Ex Nihilo,Fleur Narcotique,,,niche,normal,90,ex-nihilo-paris.com
c257,Matiere Premiere,Falcon Leather,,,niche,normal,90,matiere-premiere.com
c258,Fragrance Du Bois,Oud Jaune Intense,,,niche,normal,90,fragrancedubois.com
c259,Atelier des Ors,Lune Féline Extrait,,,niche,normal,90,atelierdesors.com
c260,Etat Libre d'Orange,Fat Electrician,,,hard_case,hard,90,etatlibredorange.com
c261,Zoologist,Squid,,,nonstandard_notes,hard,90,zoologistperfumes.com
c262,Imaginary Authors,A City on Fire,,,nonstandard_notes,hard,90,imaginaryauthors.com
c263,Serge Lutens,Ambre Sultan,,,niche,normal,90,sergelutens.com
c264,Kayali,Yum Pistachio Gelato 33,,,niche,normal,90,kayali.com
c265,Lattafa,Khamrah Qahwa,,,niche,normal,90,lattafa.com
c266,Une Nuit Nomade,Nothing but Sea and Sky,,,niche,normal,90,unenuitnomade.com
c267,Chanel,Bleu de Chanel Eau de Parfum,,,mainstream,normal,90,chanel.com
c268,Dior,Sauvage Parfum,,,mainstream,normal,90,dior.com
c269,Yves Saint Laurent,L'Homme Eau de Parfum,,,mainstream,normal,90,yslbeautyus.com
c270,Giorgio Armani,Acqua di Giò Profondo Parfum,,,mainstream,normal,90,giorgioarmanibeauty-usa.com
c271,Prada,Luna Rossa Ocean Eau de Parfum,,,mainstream,normal,90,prada-beauty.com
c272,Valentino,Uomo Born in Roma Yellow Dream,,,mainstream,normal,90,valentino-beauty.us
c273,Jean Paul Gaultier,Le Male Elixir Absolu,,,mainstream,normal,90,jeanpaulgaultier.com
c274,Rabanne,1 Million Royal,,,mainstream,normal,90,rabanne.com
c275,Versace,Eros Parfum,,,mainstream,normal,90,versace.com
c276,Dolce & Gabbana,The One Gold for Men,,,mainstream,normal,90,dolcegabbana.com
c277,Burberry,Burberry Brit for Him,,,mainstream,normal,90,burberry.com
c278,Givenchy,Gentleman Eau de Parfum,,,mainstream,normal,90,givenchybeauty.com
c279,Gucci,Guilty Absolute Pour Homme,,,mainstream,normal,90,gucci.com
c280,Tom Ford,Tobacco Vanille,,,mainstream,normal,90,tomfordbeauty.com
c281,Maison Francis Kurkdjian,Amyris Homme,,,niche,normal,90,franciskurkdjian.com
c282,Parfums de Marly,Carlisle,,,niche,normal,90,parfums-de-marly.com
c283,Creed,Viking,,,niche,normal,90,creedboutique.com
c284,Amouage,Interlude 53,,,niche,normal,90,amouage.com
c285,Xerjoff,Torino22,,,niche,normal,90,xerjoff.com
c286,Initio Parfums Privés,Oud for Greatness Neo,,,niche,normal,90,initioparfums.com
c287,Nishane,Wulong Cha X,,,niche,normal,90,nishane.com
c288,By Kilian,Vodka on the Rocks,,,niche,normal,90,bykilian.com
c289,Le Labo,Vetiver 46,,,nonstandard_notes,hard,90,lelabofragrances.com
c290,Diptyque,Eau Duelle Eau de Toilette,,,niche,normal,90,diptyqueparis.com
c291,Frederic Malle,Promise,,,niche,normal,90,fredericmalle.com
c292,Roja Parfums,Enigma Parfum Cologne,,,niche,normal,90,rojaparfums.com
c293,Ormonde Jayne,Montabaco,,,niche,normal,90,ormondejayne.com
c294,Tauer Perfumes,Orange Star,,,hard_case,hard,90,tauerperfumes.com
c295,Nasomatto,Blamage,,,hard_case,hard,90,nasomatto.com
c296,Orto Parisi,Brutus,,,hard_case,hard,90,ortoparisi.com
c297,Mancera,Red Tobacco,,,niche,normal,90,manceraparfums.com
c298,Montale,Honey Aoud,,,niche,normal,90,montaleparfums.com
c299,Essential Parfums,The Musc,,,niche,normal,90,essentialparfums.com
c300,BDK Parfums,Pas Ce Soir Extrait,,,niche,normal,90,bdkparfums.com
c301,Goldfield & Banks,Silky Woods Elixir,,,niche,normal,90,goldfieldandbanks.com
c302,Maison Crivelli,Bois Datchaï,,,hard_case,hard,90,maisoncrivelli.com
c303,Marc-Antoine Barrois,Encelade,,,niche,normal,90,marcantoinebarrois.com
c304,Liquides Imaginaires,Fleur de Sable,,,niche,normal,90,liquidesimaginaires.com
c305,Memo Paris,Russian Leather,,,niche,normal,90,memoparis.com
c306,Penhaligon's,The Blazing Mr Sam,,,niche,normal,90,penhaligons.com
c307,Acqua di Parma,Colonia Club,,,mainstream,normal,90,acquadiparma.com
c308,Bvlgari,Bvlgari Man Glacial Essence,,,mainstream,normal,90,bulgari.com
c309,Carolina Herrera,Bad Boy Extreme,,,mainstream,normal,90,carolinaherrera.com
c310,Azzaro,The Most Wanted,,,mainstream,normal,90,azzaro.com
c311,Viktor&Rolf,Spicebomb Night Vision Eau de Parfum,,,mainstream,normal,90,viktor-rolf.com
c312,Mugler,Alien Goddess Intense,,,mainstream,normal,90,mugler.com
c313,Narciso Rodriguez,For Her Musc Noir,,,mainstream,normal,90,narcisorodriguezparfums.com
c314,Jo Malone London,Lime Basil & Mandarin,,,mainstream,normal,90,jomalone.com
c315,Byredo,Mojave Ghost,,,niche,normal,90,byredo.com
c316,Maison Margiela,Replica Beach Walk,,,niche,normal,90,maisonmargiela-fragrances.us
c317,Aesop,Karst,,,niche,normal,90,aesop.com
c318,Escentric Molecules,Molecule 01 + Patchouli,,,nonstandard_notes,hard,90,escentric.com
c319,Juliette Has a Gun,Mmmm...,,,niche,normal,90,juliettehasagun.com
c320,Comme des Garçons,Amazingreen,,,nonstandard_notes,hard,90,commedesgarconsparfums.com
c321,Guerlain,L'Homme Idéal Parfum,,,mainstream,normal,90,guerlain.com
c322,Hermès,Terre d'Hermès Eau Intense Vétiver,,,mainstream,normal,90,hermes.com
c323,Louis Vuitton,Météore,,,mainstream,normal,90,us.louisvuitton.com
c324,Ex Nihilo,Fleur Narcotique Extrait,,,niche,normal,90,ex-nihilo-paris.com
c325,Matiere Premiere,Encens Suave,,,niche,normal,90,matiere-premiere.com
c326,Fragrance Du Bois,Oud Orange Intense,,,niche,normal,90,fragrancedubois.com
c327,Atelier des Ors,Riviera Drive,,,niche,normal,90,atelierdesors.com
c328,Etat Libre d'Orange,Remarkable People,,,hard_case,hard,90,etatlibredorange.com
c329,Zoologist,Tyrannosaurus Rex,,,nonstandard_notes,hard,90,zoologistperfumes.com
c330,Imaginary Authors,Every Storm a Serenade,,,nonstandard_notes,hard,90,imaginaryauthors.com
c331,Serge Lutens,Féminité du Bois,,,niche,normal,90,sergelutens.com
c332,Kayali,Lovefest Burning Cherry 48,,,niche,normal,90,kayali.com
c333,Lattafa,Asad,,,niche,normal,90,lattafa.com
c334,Une Nuit Nomade,Jardins de Misfah,,,niche,normal,90,unenuitnomade.com
c335,Chanel,Égoïste,,,mainstream,normal,90,chanel.com
c336,Dior,Sauvage Elixir,,,mainstream,normal,90,dior.com
c337,Yves Saint Laurent,L'Homme Le Parfum,,,mainstream,normal,90,yslbeautyus.com
c338,Giorgio Armani,Acqua di Giò Absolu,,,mainstream,normal,90,giorgioarmanibeauty-usa.com
c339,Prada,Luna Rossa Ocean Le Parfum,,,mainstream,normal,90,prada-beauty.com
c340,Valentino,Uomo Born in Roma Extradose,,,mainstream,normal,90,valentino-beauty.us
c341,Jean Paul Gaultier,Le Beau,,,mainstream,normal,90,jeanpaulgaultier.com
c342,Rabanne,1 Million Golden Oud,,,mainstream,normal,90,rabanne.com
c343,Versace,Eros Energy,,,mainstream,normal,90,versace.com
c344,Dolce & Gabbana,Light Blue Pour Homme,,,mainstream,normal,90,dolcegabbana.com
c345,Burberry,Burberry London for Men,,,mainstream,normal,90,burberry.com
c346,Givenchy,Gentleman Cologne,,,mainstream,normal,90,givenchybeauty.com
c347,Gucci,Gucci Guilty Love Edition Pour Homme,,,mainstream,normal,90,gucci.com
c348,Tom Ford,Tuscan Leather,,,mainstream,normal,90,tomfordbeauty.com
c349,Maison Francis Kurkdjian,Amyris Homme Extrait,,,niche,normal,90,franciskurkdjian.com
c350,Parfums de Marly,Herod,,,niche,normal,90,parfums-de-marly.com
c351,Creed,Viking Cologne,,,niche,normal,90,creedboutique.com
c352,Amouage,Jubilation XXV Man,,,niche,normal,90,amouage.com
c353,Xerjoff,Torino23,,,niche,normal,90,xerjoff.com
c354,Initio Parfums Privés,Atomic Rose,,,niche,normal,90,initioparfums.com
c355,Nishane,Hundred Silent Ways,,,niche,normal,90,nishane.com
c356,By Kilian,"Love, Don't Be Shy",,,niche,normal,90,bykilian.com
c357,Le Labo,Patchouli 24,,,nonstandard_notes,hard,90,lelabofragrances.com
c358,Diptyque,Eau Duelle Eau de Parfum,,,niche,normal,90,diptyqueparis.com
c359,Frederic Malle,Rose & Cuir,,,niche,normal,90,fredericmalle.com
c360,Roja Parfums,Burlington 1819,,,niche,normal,90,rojaparfums.com
c361,Ormonde Jayne,Montabaco Cuba,,,niche,normal,90,ormondejayne.com
c362,Tauer Perfumes,Phi Une Rose de Kandahar,,,hard_case,hard,90,tauerperfumes.com
c363,Nasomatto,Narcotic V.,,,hard_case,hard,90,nasomatto.com
c364,Orto Parisi,Cuoium,,,hard_case,hard,90,ortoparisi.com
c365,Mancera,Hindu Kush,,,niche,normal,90,manceraparfums.com
c366,Montale,Black Aoud,,,niche,normal,90,montaleparfums.com
c367,Essential Parfums,Orange X Santal,,,niche,normal,90,essentialparfums.com
c368,BDK Parfums,Crème de Cuir,,,niche,normal,90,bdkparfums.com
c369,Goldfield & Banks,Desert Rosewood,,,niche,normal,90,goldfieldandbanks.com
c370,Maison Crivelli,Rose Saltifolia,,,hard_case,hard,90,maisoncrivelli.com
c371,Marc-Antoine Barrois,Tilia,,,niche,normal,90,marcantoinebarrois.com
c372,Liquides Imaginaires,Desert Suave,,,niche,normal,90,liquidesimaginaires.com
c373,Memo Paris,Iberian Leather,,,niche,normal,90,memoparis.com
c374,Penhaligon's,The Inimitable William Penhaligon,,,niche,normal,90,penhaligons.com
c375,Acqua di Parma,Colonia C.L.U.B.,,,mainstream,normal,90,acquadiparma.com
c376,Bvlgari,Bvlgari Man Rain Essence,,,mainstream,normal,90,bulgari.com
c377,Carolina Herrera,Bad Boy Cobalt Elixir,,,mainstream,normal,90,carolinaherrera.com
c378,Azzaro,The Most Wanted Intense,,,mainstream,normal,90,azzaro.com
c379,Viktor&Rolf,Spicebomb Infrared Eau de Parfum,,,mainstream,normal,90,viktor-rolf.com
c380,Mugler,Alien Hypersense,,,mainstream,normal,90,mugler.com
c381,Narciso Rodriguez,For Her Pure Musc,,,mainstream,normal,90,narcisorodriguezparfums.com
c382,Jo Malone London,Myrrh & Tonka,,,mainstream,normal,90,jomalone.com
c383,Byredo,Mojave Ghost Absolu de Parfum,,,niche,normal,90,byredo.com
c384,Maison Margiela,Replica Lazy Sunday Morning,,,niche,normal,90,maisonmargiela-fragrances.us
c385,Aesop,Miraceti,,,niche,normal,90,aesop.com
c386,Escentric Molecules,Molecule 01 + Mandarin,,,nonstandard_notes,hard,90,escentric.com
c387,Juliette Has a Gun,Lady Vengeance,,,niche,normal,90,juliettehasagun.com
c388,Comme des Garçons,Black,,,nonstandard_notes,hard,90,commedesgarconsparfums.com
c389,Guerlain,L'Homme Idéal Extrême,,,mainstream,normal,90,guerlain.com
c390,Hermès,H24 Herbes Vives,,,mainstream,normal,90,hermes.com
c391,Louis Vuitton,Orage,,,mainstream,normal,90,us.louisvuitton.com
c392,Ex Nihilo,Lust in Paradise,,,niche,normal,90,ex-nihilo-paris.com
c393,Matiere Premiere,Parisian Musc,,,niche,normal,90,matiere-premiere.com
c394,Fragrance Du Bois,Milano,,,niche,normal,90,fragrancedubois.com
c395,Atelier des Ors,Riviera Lazuli,,,niche,normal,90,atelierdesors.com
c396,Etat Libre d'Orange,Hermann à mes Côtés me Paraissait une Ombre,,,hard_case,hard,90,etatlibredorange.com
c397,Zoologist,Macaque Yuzu Edition,,,nonstandard_notes,hard,90,zoologistperfumes.com
c398,Imaginary Authors,Saint Julep,,,nonstandard_notes,hard,90,imaginaryauthors.com
c399,Serge Lutens,Fille en Aiguilles,,,niche,normal,90,sergelutens.com
c400,Kayali,Eden Juicy Apple 01,,,niche,normal,90,kayali.com
c401,Lattafa,Asad Bourbon,,,niche,normal,90,lattafa.com
c402,Une Nuit Nomade,Ambre Khandjar,,,niche,normal,90,unenuitnomade.com
c403,Chanel,Antaeus,,,mainstream,normal,90,chanel.com
c404,Dior,Dior Homme,,,mainstream,normal,90,dior.com
c405,Yves Saint Laurent,Y Eau de Toilette,,,mainstream,normal,90,yslbeautyus.com
c406,Giorgio Armani,Acqua di Giò Profumo,,,mainstream,normal,90,giorgioarmanibeauty-usa.com
c407,Prada,Luna Rossa Sport,,,mainstream,normal,90,prada-beauty.com
c408,Valentino,Valentino Uomo,,,mainstream,normal,90,valentino-beauty.us
c409,Jean Paul Gaultier,Le Beau Paradise Garden,,,mainstream,normal,90,jeanpaulgaultier.com
c410,Rabanne,Invictus,,,mainstream,normal,90,rabanne.com
c411,Versace,Dreamer,,,mainstream,normal,90,versace.com
c412,Dolce & Gabbana,Light Blue Eau Intense Pour Homme,,,mainstream,normal,90,dolcegabbana.com
c413,Burberry,Mr. Burberry,,,mainstream,normal,90,burberry.com
c414,Givenchy,Gentleman Society Extrême,,,mainstream,normal,90,givenchybeauty.com
c415,Gucci,Guilty Elixir de Parfum Pour Femme,,,mainstream,normal,90,gucci.com
c416,Tom Ford,Ombré Leather,,,mainstream,normal,90,tomfordbeauty.com
c417,Maison Francis Kurkdjian,L'Homme À la rose,,,niche,normal,90,franciskurkdjian.com
c418,Parfums de Marly,Pegasus,,,niche,normal,90,parfums-de-marly.com
c419,Creed,Royal Oud,,,niche,normal,90,creedboutique.com
c420,Amouage,Jubilation 40 Man,,,niche,normal,90,amouage.com
c421,Xerjoff,Torino24,,,niche,normal,90,xerjoff.com
c422,Initio Parfums Privés,Psychedelic Love,,,niche,normal,90,initioparfums.com
c423,Nishane,Hundred Silent Ways X,,,niche,normal,90,nishane.com
c424,By Kilian,"Love, Don't Be Shy Extreme",,,niche,normal,90,bykilian.com
c425,Le Labo,Labdanum 18,,,nonstandard_notes,hard,90,lelabofragrances.com
c426,Diptyque,Do Son Eau de Toilette,,,niche,normal,90,diptyqueparis.com
c427,Frederic Malle,Geranium Pour Monsieur,,,niche,normal,90,fredericmalle.com
c428,Roja Parfums,Isola Blu,,,niche,normal,90,rojaparfums.com
c429,Ormonde Jayne,Nawab of Oudh Intensivo,,,niche,normal,90,ormondejayne.com
c430,Tauer Perfumes,Sundowner,,,hard_case,hard,90,tauerperfumes.com
c431,Nasomatto,Absinth,,,hard_case,hard,90,nasomatto.com
c432,Orto Parisi,Seminalis,,,hard_case,hard,90,ortoparisi.com
c433,Mancera,Roses Vanille,,,niche,normal,90,manceraparfums.com
c434,Montale,Oudmazing,,,niche,normal,90,montaleparfums.com
c435,Essential Parfums,Fig Infusion,,,niche,normal,90,essentialparfums.com
c436,BDK Parfums,Sel d'Argent,,,niche,normal,90,bdkparfums.com
c437,Goldfield & Banks,Wood Infusion,,,niche,normal,90,goldfieldandbanks.com
c438,Maison Crivelli,Absinthe Boréale,,,hard_case,hard,90,maisoncrivelli.com
c439,Marc-Antoine Barrois,Aldebaran,,,niche,normal,90,marcantoinebarrois.com
c440,Liquides Imaginaires,Fortis,,,niche,normal,90,liquidesimaginaires.com
c441,Memo Paris,Moroccan Leather,,,niche,normal,90,memoparis.com
c442,Penhaligon's,The Omniscient Mr Thompson,,,niche,normal,90,penhaligons.com
c443,Acqua di Parma,Colonia Il Profumo,,,mainstream,normal,90,acquadiparma.com
c444,Bvlgari,Le Gemme Gyan,,,mainstream,normal,90,bulgari.com
c445,Carolina Herrera,212 Men,,,mainstream,normal,90,carolinaherrera.com
c446,Azzaro,Chrome,,,mainstream,normal,90,azzaro.com
c447,Viktor&Rolf,Spicebomb Dark Leather,,,mainstream,normal,90,viktor-rolf.com
c448,Mugler,Angel,,,mainstream,normal,90,mugler.com
c449,Narciso Rodriguez,For Her Fleur Musc,,,mainstream,normal,90,narcisorodriguezparfums.com
c450,Jo Malone London,Peony & Blush Suede,,,mainstream,normal,90,jomalone.com
c451,Byredo,Blanche,,,niche,normal,90,byredo.com
c452,Maison Margiela,Replica Sailing Day,,,niche,normal,90,maisonmargiela-fragrances.us
c453,Aesop,Eremia,,,niche,normal,90,aesop.com
c454,Escentric Molecules,Molecule 01 + Black Tea,,,nonstandard_notes,hard,90,escentric.com
c455,Juliette Has a Gun,Miss Charming,,,niche,normal,90,juliettehasagun.com
c456,Comme des Garçons,Concrete,,,nonstandard_notes,hard,90,commedesgarconsparfums.com
c457,Guerlain,Habit Rouge,,,mainstream,normal,90,guerlain.com
c458,Hermès,Voyage d'Hermès,,,mainstream,normal,90,hermes.com
c459,Louis Vuitton,Sur la Route,,,mainstream,normal,90,us.louisvuitton.com
c460,Ex Nihilo,Devil Tender,,,niche,normal,90,ex-nihilo-paris.com
c461,Matiere Premiere,Bois d'Ebène,,,niche,normal,90,matiere-premiere.com
c462,Fragrance Du Bois,London Oud,,,niche,normal,90,fragrancedubois.com
c463,Atelier des Ors,Riviera Sunrise,,,niche,normal,90,atelierdesors.com
c464,Etat Libre d'Orange,Une Amourette,,,hard_case,hard,90,etatlibredorange.com
c465,Zoologist,Macaque Fuji Apple Edition,,,nonstandard_notes,hard,90,zoologistperfumes.com
c466,Imaginary Authors,Cape Heartache,,,nonstandard_notes,hard,90,imaginaryauthors.com
c467,Serge Lutens,Borneo 1834,,,niche,normal,90,sergelutens.com
c468,Kayali,Eden Sparkling Lychee 39,,,niche,normal,90,kayali.com
c469,Lattafa,Yara,,,niche,normal,90,lattafa.com
