id,slug,brand,name,concentration,gender,family,subfamily,launch_year,perfumer,country,description,top_notes,middle_notes,base_notes,accords,season,occasion,longevity,sillage,price_segment,amazon_url,source_url,image_url,image_source,affiliate_status,source_verified,data_confidence,visual_quality,review_status,seo_title,seo_description,status,notes,created_at,updated_at,reject_reason,catalog_relation,quality_status
37,bleu-de-chanel-parfum,Chanel,Bleu de Chanel,Parfum,masculino,pending,pending,2018,Olivier Polge,Francia,Versión Parfum del icónico Bleu de Chanel; mayor intensidad y persistencia que la EDT y EDP.,ralladura de limon;bergamota;menta;artemisa,lavanda;piña;geranio;notas verdes,sandalo;cedro;madera ambarada;iso e super;haba tonka,,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Parfum-49912.html,pending,pending,no-applicable,true,medium,not-audited,pending,Chanel Bleu de Chanel,Versión Parfum del icónico Bleu de Chanel; mayor intensidad y persistencia que la EDT y EDP.,draft,"VARIANTE RELACIONADA: 'Bleu de Chanel EDP' ya existe en el catálogo baseline (PERFUMES_INITIAL_50.csv) — este es un producto DISTINTO, concentración Parfum lanzada en 2018 (posterior a EDT 2010 y EDP 2014). No se fusionó con el registro existente. Datos de Fragrantica (secundaria) — no se accedió a chanel.com directamente. Family sin clasificación formal confirmada.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),RELATED_VARIANT,REJECTED
41,coco-mademoiselle-edp,Chanel,Coco Mademoiselle,EDP,femenino,pending,pending,2001,Jacques Polge,Francia,Oriental fresco icónico; reinterpretación juvenil del espíritu Chanel para el nuevo milenio.,bergamota;naranja;pomelo,rosa;lichi;jazmin,pachuli;vainilla;almizcle;vetiver,,,,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Chanel/Coco-Mademoiselle-611.html,pending,pending,no-applicable,true,medium,not-audited,pending,Chanel Coco Mademoiselle,Oriental fresco icónico; reinterpretación juvenil del espíritu Chanel para el nuevo milenio.,draft,No se accedió a chanel.com directamente en esta investigación — datos de Fragrantica (secundaria). Family sin clasificación formal confirmada.,2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
42,luna-rossa-edt,Prada,Luna Rossa,EDT,masculino,fougere aromatico,pending,2012,pending,Italia,"Fougère aromático fresco; lavanda y menta verde sobre ámbar, inspirado en las velas de competición.",,,,lavanda;menta verde (spearmint);ambar,,,pending,pending,pending,pending,https://www.prada-beauty.com/fragrance/luna-rossa/luna-rossa-eau-de-toilette/MPL01360.html,pending,pending,no-applicable,true,medium,not-audited,pending,Prada Luna Rossa,"Fougère aromático fresco; lavanda y menta verde sobre ámbar, inspirado en las velas de competición.",draft,"Confirmado en sitio oficial: NO publica pirámide con niveles, solo describe 3 ingredientes en prosa (lavanda, menta verde, ámbar) — se preservan como accords sin nivel, no se fuerza pirámide. Una fuente secundaria (Fragrantica, no verificada directamente) añade una pirámide más completa (top: lavender absolute/bitter orange; heart: clary sage; base: ambrette/ambroxan) — no se usó por no estar confirmada en esta pasada. Precio oficial confirmado: $136/100ml.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
43,signorina-edp,Salvatore Ferragamo,Signorina,EDP,femenino,pending,pending,2011,Sophie Labbé; Juliette Karagueuzoglou,Italia,Floral afrutado juvenil; pera y grosella negra sobre un fondo cremoso de panna cotta.,grosella negra;pimienta rosa,jazmin;peonia;rosa,almizcle;panna cotta;pachuli,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Signorina-13639.html,pending,pending,no-applicable,true,medium,not-audited,pending,Salvatore Ferragamo Signorina,Floral afrutado juvenil; pera y grosella negra sobre un fondo cremoso de panna cotta.,draft,"No se pudo acceder a ferragamo.com directamente (contenido cargado por JS, no renderizó datos de producto en el fetch) — datos de Fragrantica (secundaria). price_segment sin precio confiable.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
44,leau-dissey-pour-homme-edt,Issey Miyake,L'Eau d'Issey Pour Homme,EDT,masculino,pending,pending,1994,pending,Francia,"Acuático amaderado masculino; contraparte del icónico L'Eau d'Issey femenino, cítricos sobre maderas limpias.",yuzu;limon;bergamota;verbena de limon;mandarina;cipres;calone;cilantro;salvia;estragon,loto azul;lirio de los valles;nuez moscada;geranio bourbon;azafran;canela de ceylan;mignonette,vetiver tahitiano;almizcle;cedro;sandalo;ambar;tabaco,,,,pending,pending,medio,pending,https://www.fragrantica.com/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-721.html,pending,pending,no-applicable,true,low,not-audited,pending,Issey Miyake L'Eau d'Issey Pour Homme,"Acuático amaderado masculino; contraparte del icónico L'Eau d'Issey femenino, cítricos sobre maderas limpias.",draft,"CONFLICTO DE ATRIBUCIÓN NO RESUELTO: la fuente atribuye la fragancia a Jacques Cavallier Belletrud, inconsistente con la fecha de lanzamiento 1994 según referencias estándar de la industria — no se pudo confirmar en sitio oficial issey-miyake-parfums.com. Se deja perfumer pending por esta duda, no se registra el nombre dudoso. data_confidence bajo.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
45,amen-edt,Mugler,A*Men,EDT,masculino,ambarado gourmand,pending,1996,Jacques Huclier,Francia,"Ambarado gourmand pionero; café y pachulí sobre vainilla bourbon, primera fragancia masculina de la casa.",,,,pachuli;absoluto abstracto de cafe;lavanda;notas ahumadas y amaderadas;vainilla bourbon,,,pending,pending,pending,pending,https://www.mugler.com/fragrance/mens-fragrances/a-men/a-men-eau-de-toilette/M020101024.html,pending,pending,no-applicable,true,medium,not-audited,pending,Mugler A*Men,"Ambarado gourmand pionero; café y pachulí sobre vainilla bourbon, primera fragancia masculina de la casa.",draft,"Confirmado en sitio oficial: NO publica pirámide top/middle/base — describe la fragancia en prosa continua. Se registraron las notas explícitamente mencionadas como 'key notes' en accords, sin forzar niveles. price_segment sin precio confiable capturado.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
46,phantom-edt,Rabanne,Phantom,EDT,masculino,pending,pending,2021,Anne Flipo; Dominique Ropion; Loc Dong; Juliette Karagueuzoglou,Francia,Amaderado tecnológico con lavanda y manzana; frasco futurista en forma de altavoz inteligente.,lavanda;ralladura de limon;limon amalfi,lavanda;manzana;pachuli;humo;notas terrosas,vainilla;lavanda;vetiver,,,,pending,pending,pending,pending,https://www.fragrantica.com/news/,pending,pending,no-applicable,true,medium,not-audited,pending,Rabanne Phantom,Amaderado tecnológico con lavanda y manzana; frasco futurista en forma de altavoz inteligente.,draft,"No se accedió a rabanne.com directamente — fuente secundaria únicamente (Fragrantica vía WWD). URL de source_url es genérica de noticias, no ficha de producto directa — marcado para que Code re-verifique con URL específica de ficha si es posible. Equipo de 4 perfumistas confirmado por esa fuente secundaria. price_segment sin fuente confiable.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
47,loewe-001-woman-edp,Loewe,001 Woman,EDP,femenino,floral oriental,pending,2016,pending,Espana,"Floral oriental minimalista; jazmín y lino sobre almizcle, primera fragancia de la maison española.",,,,jazmin;lino;almizcle,,,pending,pending,pending,pending,https://www.loewe.com/usa/en/women/fragrance/loewe-001-woman-eau-de-parfum-50ml/P000487X04-0000.html,pending,pending,no-applicable,true,medium,not-audited,pending,Loewe 001 Woman,"Floral oriental minimalista; jazmín y lino sobre almizcle, primera fragancia de la maison española.",draft,"ACLARACIÓN DE IDENTIDAD: no existe un 'Loewe 001' único unisex — el catálogo oficial separa 001 Woman y 001 Man (ambos EDP, 2016), más una '001 Eau de Cologne' unisex distinta (2019). Se registraron Woman y Man como dos filas separadas en vez de forzar una identidad única falsa. Sitio oficial no publica pirámide con niveles — lista plana de 3 notas. Perfumista y price_segment NO VERIFICADOS.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
48,loewe-001-man-edp,Loewe,001 Man,EDP,masculino,amaderado almizclado,pending,2016,pending,Espana,Amaderado almizclado minimalista; semilla de zanahoria y ciprés sobre almizcle limpio.,,,,almizcle;semilla de zanahoria;cipres,,,pending,pending,pending,pending,https://www.loewe.com/usa/en/men/fragrances/loewe-001-man-eau-de-parfum-50-ml/P000487X03-0000.html,pending,pending,no-applicable,true,medium,not-audited,pending,Loewe 001 Man,Amaderado almizclado minimalista; semilla de zanahoria y ciprés sobre almizcle limpio.,draft,Contraparte masculina de Loewe 001 Woman (ver notes de ese registro para la aclaración de identidad completa). Sitio oficial no publica pirámide con niveles — lista plana de 3 notas. Perfumista y price_segment NO VERIFICADOS.,2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
49,black-afgano-extrait,Nasomatto,Black Afgano,Extrait,unisex,pending,pending,2009,Alessandro Gualtieri,Italia,Extrait cannábico y resinoso de culto; una de las fragancias más controvertidas y buscadas del nicho underground.,cannabis;notas verdes;davana;azafran;tomillo,resinas;notas boscosas;tabaco;cafe;canela;frambuesa;violeta,agarwood (oud);incienso;ambar;notas animalicas;madera de guayaco;almizcle;cedro;haba tonka,,,,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Nasomatto/Black-Afgano-6472.html,pending,pending,no-applicable,true,medium,not-audited,pending,Nasomatto Black Afgano,Extrait cannábico y resinoso de culto; una de las fragancias más controvertidas y buscadas del nicho underground.,draft,No se accedió a nasomatto.com directamente — datos de Fragrantica (secundaria) únicamente. Family sin clasificación formal confirmada. price_segment sin fuente confiable.,2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
50,new-york-signature-scent-pure-perfume,Bond No. 9,New York Signature Scent,Pure Perfume 30%,unisex,pending,pending,2009,pending,Estados Unidos,Pure perfume de altísima concentración creado para el 10º aniversario de la boutique NoHo; oud y rosa sobre musgo.,extracto de oud;rosa,habas tonka,almizcle,,,,pending,pending,lujo,pending,https://www.bondno9.com/products/new-york-signature-scent,pending,pending,no-applicable,true,medium,not-audited,pending,Bond No. 9 New York Signature Scent,Pure perfume de altísima concentración creado para el 10º aniversario de la boutique NoHo; oud y rosa sobre musgo.,draft,"CORRECCIÓN DE NOMBRE: el encargo original pedía 'Bond No. 9 — New York', pero 'New York' es el nombre de la ciudad/concepto de la marca, no un producto específico — no existe un perfume llamado simplemente así. El nombre real del producto es 'New York Signature Scent' (también aparece como 'Bond No. 9 Perfume'/'Bond No. 9 Perfume Oud' en fuentes más antiguas, posiblemente el mismo producto renombrado — señalado para que Code lo tenga en cuenta y evite duplicar si 'Bond No. 9 Perfume' aparece en otro batch). Concentración real es Pure Perfume al 30%, no EDP estándar — se registró tal cual. Family, perfumer y launch_year exacto no confirmados en fuente oficial (los tags 'Floral, Warm & Spicy, Woody & Earthy' del sitio son taxonomía de navegación/filtros de e-commerce, no ficha técnica formal — no se registraron como family verificada). Precio oficial confirmado: $490/100ml.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
