row,id,slug,catalog_relation,quality_status,category,requires_human_decision,note
38,37,bleu-de-chanel-parfum,RELATED_VARIANT,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
42,41,coco-mademoiselle-edp,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
43,42,luna-rossa-edt,NEW,REJECTED,F,false,top_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /top_notes must NOT have fewer than 1 items
43,42,luna-rossa-edt,NEW,REJECTED,F,false,middle_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /middle_notes must NOT have fewer than 1 items
43,42,luna-rossa-edt,NEW,REJECTED,F,false,base_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /base_notes must NOT have fewer than 1 items
44,43,signorina-edp,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
45,44,leau-dissey-pour-homme-edt,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
46,45,amen-edt,NEW,REJECTED,F,false,top_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /top_notes must NOT have fewer than 1 items
46,45,amen-edt,NEW,REJECTED,F,false,middle_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /middle_notes must NOT have fewer than 1 items
46,45,amen-edt,NEW,REJECTED,F,false,base_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /base_notes must NOT have fewer than 1 items
47,46,phantom-edt,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
48,47,loewe-001-woman-edp,NEW,REJECTED,F,false,top_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /top_notes must NOT have fewer than 1 items
48,47,loewe-001-woman-edp,NEW,REJECTED,F,false,middle_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /middle_notes must NOT have fewer than 1 items
48,47,loewe-001-woman-edp,NEW,REJECTED,F,false,base_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /base_notes must NOT have fewer than 1 items
49,48,loewe-001-man-edp,NEW,REJECTED,F,false,top_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /top_notes must NOT have fewer than 1 items
49,48,loewe-001-man-edp,NEW,REJECTED,F,false,middle_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /middle_notes must NOT have fewer than 1 items
49,48,loewe-001-man-edp,NEW,REJECTED,F,false,base_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /base_notes must NOT have fewer than 1 items
50,49,black-afgano-extrait,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
51,50,new-york-signature-scent-pure-perfume,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
51,50,new-york-signature-scent-pure-perfume,NEW,REJECTED,B,false,"'Pure Perfume 30%' no está en el set canónico conocido (EDC/EDT/EDP/Parfum/Extrait/Elixir) — no es un enum cerrado (ver SCHEMA_COMPARISON.md #A), se conserva tal cual. Confirmar que no sea un error de tipeo."
