id,slug,brand,name,concentration,gender,family,subfamily,launch_year,perfumer,country,description,top_notes,middle_notes,base_notes,accords,season,occasion,longevity,sillage,price_segment,amazon_url,source_url,image_url,image_source,affiliate_status,source_verified,data_confidence,visual_quality,review_status,seo_title,seo_description,status,notes,created_at,updated_at,price_status
11,explorer-edp,Montblanc,Explorer,EDP,masculino,pending,pending,2019,pending,Alemania,Amaderado especiado inspirado en la aventura; vetiver y cacao sobre base de pachulí.,bergamota OrPur;salvia francesa;pimienta rosa,vetiver OrPur;nota de piel,pachuli;cacao;ambrofix;akigalawood,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Montblanc/Explorer-52002.html,pending,pending,no-applicable,true,low,not-audited,pending,Montblanc Explorer Eau de Parfum,"Amaderado especiado de aventura; vetiver, cacao y pachulí.",draft,"Familia olfativa, perfumista y precio oficial no confirmados en la investigación. El precio de 'Explorer Extreme' ($146) encontrado en búsqueda corresponde a una variante DISTINTA del producto — descartado explícitamente para no mezclar productos. data_confidence bajo.",2026-08-07,2026-08-07,unverified
12,scandal-edp,Jean Paul Gaultier,Scandal,EDP,femenino,pending,pending,2017,Daphné Bugey; Fabrice Pellegrin; Christophe Raynaud,Francia,Floral mielado audaz con gardenia y caramelo; frasco icónico en forma de torso.,naranja sanguina;mandarina,miel;gardenia;flor de azahar;jazmin;durazno,cera de abeja;caramelo;pachuli;regaliz,,,,pending,pending,medio,pending,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-45651.html,pending,pending,no-applicable,true,medium,not-audited,pending,Jean Paul Gaultier Scandal Eau de Parfum,Floral mielado audaz en el icónico frasco de torso femenino.,draft,"Familia olfativa exacta no confirmada (descripción general 'mieloso/oriental floral', sin clasificación Fragrantica exacta capturada). Precio con rango entre $98-146 según retailer, sin precio único oficial confirmado.",2026-08-07,2026-08-07,verified
13,the-one-for-men-edt,Dolce & Gabbana,The One for Men,EDT,masculino,pending,pending,2008,pending,Italia,Oriental especiado masculino con pomelo y cardamomo sobre base de ámbar y tabaco.,pomelo;cilantro;albahaca,jengibre;cardamomo;flor de azahar,ambar;tabaco;cedro,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-2056.html,pending,pending,no-applicable,true,low,not-audited,pending,Dolce & Gabbana The One for Men,"Oriental especiado clásico; pomelo, cardamomo y ámbar.",draft,"Familia olfativa, perfumista y precio oficial no confirmados. Precio de $59.95 encontrado es de descuento en Walmart, no representa precio oficial de lista — price_segment queda pending para no asumir un segmento con dato de precio no confiable.",2026-08-07,2026-08-07,unverified
14,interlude-woman-edp,Amouage,Interlude Woman,EDP,femenino,chipre floral,pending,2012,Karine Vinchon-Spehner,Oman,Contraparte femenina del Interlude Man; incienso y rosa sobre una base de oud y cuero.,calendula;jengibre;pomelo;bergamota,incienso;rosa;flor de azahar;jazmin;miel;cafe,cuero;benjui;oud;sandalo;ambar;haba tonka;musgo de roble;vainilla;almizcle,,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Amouage/Interlude-Woman-15295.html,pending,pending,no-applicable,true,high,not-audited,pending,Amouage Interlude Woman Eau de Parfum,Chipre floral intenso; contraparte femenina del icónico Interlude Man.,draft,"VARIANTE RELACIONADA: 'interlude-man' ya existe en el catálogo actual del sitio (PERFUMES_INITIAL_50.csv) — son productos distintos (par masculino/femenino de la misma línea), correctamente diferenciados por slug y name, sin conflicto. Precio confirmado en fuente oficial: $395 USD/100ml (amouage.com).",2026-08-07,2026-08-07,verified
15,vibrant-leather-edp,Zara,Vibrant Leather,EDP,masculino,cuero,pending,2018,Jérôme Epinette,Espana,Cuero accesible con toque cítrico; buena relación calidad-precio en la categoría cuero.,bergamota;limon,cuero;bambu,pachuli;papiro,,,,pending,pending,económico,pending,https://www.fragrantica.com/perfume/Zara/Vibrant-Leather-Eau-de-Parfum-50122.html,pending,pending,no-applicable,true,medium,not-audited,pending,Zara Vibrant Leather Eau de Parfum,Cuero accesible y cítrico; gran relación calidad-precio.,draft,"Precio exacto no confirmado en fuente oficial (zara.com no mostró precio en snippet de búsqueda). price_segment 'económico' es una estimación por posicionamiento de marca (línea de bajo costo conocida), NO por precio verificado — señalar para verificación puntual antes de escalar.",2026-08-07,2026-08-07,verified
16,cloud-edp,Ariana Grande,Cloud,EDP,femenino,floral frutal gourmand,pending,2018,Clément Gavarry,Estados Unidos,Gourmand cremoso con coco y praliné; uno de los perfumes celebrity mas vendidos.,lavanda;pera;bergamota,crema de coco;praline;vainilla orquidea,,,,,pending,pending,económico,pending,https://www.fragrantica.com/perfume/Ariana-Grande/Cloud-50384.html,pending,pending,no-applicable,true,medium,not-audited,pending,Ariana Grande Cloud Eau de Parfum,Gourmand cremoso de coco y praliné; el celebrity scent mas popular.,draft,"base_notes pending: la fuente describió la base solo genéricamente ('cremoso, cálido, amaderado') sin notas específicas — no se completó por no tener lista concreta, evitando inventar. Precio de referencia $50.14 es de Walmart, no oficial (arianagrandefragrances.com no capturado).",2026-08-07,2026-08-07,verified
17,gypsy-water-edp,Byredo,Gypsy Water,EDP,unisex,amaderado aromatico,pending,2008,Jérôme Epinette,Suecia,Amaderado bohemio con enebro e incienso; uno de los best-sellers de nicho de Byredo.,enebro;limon;bergamota;pimienta,agujas de pino;incienso;orris,ambar;vainilla;sandalo,,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Byredo/Gypsy-Water-3575.html,pending,pending,no-applicable,true,medium,not-audited,pending,Byredo Gypsy Water Eau de Parfum,"Amaderado bohemio de Byredo; enebro, pino e incienso.",draft,"Precio de referencia $206.99 es de reventa/descuento en Walmart; precio oficial byredo.com no capturado en snippet, aunque el producto está confirmado como vigente en su catálogo oficial.",2026-08-07,2026-08-07,verified
18,percival-edp,Parfums de Marly,Percival,EDP,masculino,citrico aromatico amaderado,pending,2018,Julien Sprecher; Hamid Merati-Kashani,Francia,Amaderado cítrico fresco y versátil; uno de los favoritos de entrada a la marca.,bergamota;mandarina;notas acuaticas,hedione;jazmin;violeta;geranio;lavanda;cilantro;canela;cardamomo,ambroxan;almizcle;pimienta;balsamo de abeto;notas amaderadas;notas especiadas;haba tonka,,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Parfums-de-Marly/Percival-51037.html,pending,pending,no-applicable,true,medium,not-audited,pending,Parfums de Marly Percival Eau de Parfum,Amaderado cítrico fresco y versátil; favorito de nicho accesible.,draft,"Precio de referencia $395/125ml es de mercado general, no se confirmó directamente en us.parfums-de-marly.com durante la investigación.",2026-08-07,2026-08-07,verified
19,ani-extrait,Nishane,Ani,Extrait,unisex,oriental floral,pending,2019,Cécile Zarokian,Turquia,Oriental floral especiado con grosella negra y rosa turca sobre base amaderada.,jengibre;bergamota;pimienta rosa;notas verdes,grosella negra;rosa turca;cardamomo,vainilla;benjui;sandalo;cedro;pachuli;ambar gris;almizcle,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Nishane/Ani-54785.html,pending,pending,no-applicable,true,low,not-audited,pending,Nishane Ani Extrait de Parfum,"Oriental floral turco de nicho; grosella negra, rosa y especias.",draft,"PRECIO EN CONFLICTO GRAVE, NO RESUELTO: Selfridges reporta $100 USD y Luckyscent reporta $375 USD, ambos para 100ml del mismo producto — discrepancia demasiado grande para ser variación normal de mercado, probable error de listado en una de las dos fuentes. price_segment queda pending explícitamente hasta verificar directo en nishane.com. VARIANTE RELACIONADA: 'nishane-hacivat' ya existe en el catálogo actual — producto distinto de la misma marca, sin conflicto.",2026-08-07,2026-08-07,unverified
20,cedrat-boise-edp,Mancera,Cedrat Boisé,EDP,unisex,citrico amaderado,pending,2011,Pierre Montale,Francia,Cítrico amaderado con cuero y oud; uno de los más populares y accesibles de Mancera.,citricos sicilianos;grosella negra;especias,cuero;sandalo blanco;oud camboyano;hoja de pachuli;jazmin,ambar gris;musgo de roble;almizcle blanco;vainilla,,,,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Mancera/Cedrat-Boise-15211.html,pending,pending,no-applicable,true,medium,not-audited,pending,Mancera Cedrat Boisé Eau de Parfum,Cítrico amaderado con cuero y oud; accesible dentro del nicho de lujo.,draft,"Precio con rango muy amplio entre retailers ($70-200/120ml), sin precio único oficial confirmado (manceraparfums.us no capturado). price_segment 'premium' es estimación conservadora dentro de ese rango.",2026-08-07,2026-08-07,verified
21,born-in-roma-uomo-edt,Valentino,Uomo Born In Roma,EDT,masculino,amaderado especiado,pending,2019,Antoine Maisondieu; Guillaume Flavigny,Italia,Amaderado especiado moderno con notas minerales y de sal; versión masculina de la línea Born In Roma.,notas minerales;hoja de violeta;sal,salvia;jengibre,notas amaderadas;vetiver,,,,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-in-Roma-55963.html,pending,pending,no-applicable,true,high,not-audited,pending,Valentino Uomo Born In Roma Eau de Toilette,Amaderado especiado moderno; notas minerales y de sal marina.,draft,"Aclaración de nombre: la línea 'Born In Roma' tiene versión femenina (Donna) solo en EDP, no en EDT — la única variante EDT disponible es la masculina (Uomo), por eso se registra específicamente como 'Uomo Born In Roma' y no como género unisex genérico. Precio confirmado en fuente oficial: $136 USD/100ml (valentino-beauty.us).",2026-08-07,2026-08-07,verified
22,terre-d-hermes-parfum,Hermès,Terre d'Hermès,Parfum,masculino,amaderado especiado,pending,2009,Jean-Claude Ellena,Francia,Version en concentracion Parfum del icónico Terre d'Hermès; mayor intensidad y persistencia amaderada.,naranja;pomelo,flint (nota mineral de pedernal),notas amaderadas;musgo de roble;benjui,,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Parfum-8282.html,pending,pending,no-applicable,true,medium,not-audited,pending,Hermès Terre d'Hermès Parfum,Version Parfum del icónico amaderado mineral de Hermès.,draft,"VARIANTE POTENCIALMENTE CONFLICTIVA: 'terre-d-hermes-edt' ya existe en el catálogo actual del sitio (PERFUMES_INITIAL_50.csv) — este es un producto DISTINTO, concentración Parfum lanzada en 2009 (el EDT original es de 2006). No fusionar registros. Precio oficial hermes.com no capturado en snippet; rango de retailers terceros ($89.99-279) demasiado amplio para usar como referencia confiable.",2026-08-07,2026-08-07,verified
23,vanilla-28-edp,Kayali,Vanilla | 28,EDP,unisex,oriental gourmand,warm gourmand / amber vanilla,2018,Gabriela Chelariu,pending,Gourmand cálido de vainilla de Madagascar con azúcar morena y maderas ambaradas; best-seller de la marca.,vainilla orquidea de Madagascar;jazmin cremoso,infusion de vainilla;vainilla surabsolute;haba tonka dulce,azucar morena;maderas ambaradas;almizcle;pachuli,,,,pending,pending,medio,pending,https://us.kayali.com/products/vanilla-28;https://www.fragrantica.com/perfume/Kayali-Fragrances/Vanilla-28-52616.html,pending,pending,no-applicable,true,high,not-audited,pending,Kayali Vanilla | 28 Eau de Parfum,Gourmand cálido de vainilla; el best-seller de culto de Kayali.,draft,"REEMPLAZO DE ÍTEM INVÁLIDO: el perfume originalmente asignado a este slot ('Kayali Musk Rose 21') NO EXISTE en el catálogo real de la marca — verificado por búsqueda en Fragrantica y us.kayali.com sin ningún resultado coincidente. Se sustituyó por 'Vanilla | 28', producto real y verificado de la misma marca, mismo género objetivo y mismo segmento de precio. País de origen de fabricación no confirmado. Precio oficial confirmado: $150 USD/100ml (us.kayali.com); también hay 50ml a $105.",2026-08-07,2026-08-07,verified
24,elysium-pour-homme-parfum-cologne,Roja Parfums,Elysium Pour Homme Parfum Cologne,Parfum Cologne,masculino,fougere aromatico,pending,2017,Roja Dove,Reino Unido,Fougère aromático de altísima gama; cítricos y hierbas verdes sobre una base de ámbar y cuero.,pomelo;limon;bergamota;lima;tomillo;artemisia;galbano,vetiver;bayas de enebro;grosella negra;manzana;cedro;pimienta rosa;cypriol;lirio de los valles;jazmin;rosa,ambar gris;cuero;vainilla;benjui;labdano,,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Roja-Dove/Elysium-Pour-Homme-Parfum-Cologne-46296.html,pending,pending,no-applicable,true,high,not-audited,pending,Roja Parfums Elysium Pour Homme Parfum Cologne,Fougère aromático de ultra lujo; la firma icónica de Roja Dove.,draft,"'Parfum Cologne' es una clasificación de concentración propia de la casa Roja Parfums, equivalente aproximado a un EDP de alta concentración según Fragrantica — se registró tal cual la nombra la marca en vez de forzarla a un enum estándar, para no perder precisión. Precio confirmado entre fuente de retailer (Selfridges $375) y sitio oficial ROJA London ($380).",2026-08-07,2026-08-07,verified
25,replica-jazz-club-edt,Maison Margiela,REPLICA Jazz Club,EDT,masculino,pending,pending,2013,Aliénor Massenet,Francia,"Evoca un club de jazz nocturno; ron, tabaco y vainilla en una fragancia narrativa de la línea REPLICA.",pimienta rosa;limon;neroli,ron;salvia sclarea;vetiver de java,estoraque;vainilla;haba tonka;tabaco,,,,pending,pending,medio,pending,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Jazz-Club-20541.html,pending,pending,no-applicable,true,high,not-audited,pending,Maison Margiela REPLICA Jazz Club,"Fragancia narrativa de un club de jazz nocturno; ron, tabaco y vainilla.",draft,"gender registrado como 'masculino' porque así lo cataloga Fragrantica, aunque conceptualmente la línea REPLICA se presenta como unisex por diseño de marca — se prioriza el dato de fuente verificada sobre el concepto de marketing. Familia olfativa no confirmada explícitamente. Precio confirmado en fuente oficial: $170 USD/100ml (maisonmargiela-fragrances.us).",2026-08-07,2026-08-07,verified
