id,slug,brand,name,concentration,gender,family,subfamily,launch_year,perfumer,country,description,top_notes,middle_notes,base_notes,accords,season,occasion,longevity,sillage,price_segment,amazon_url,source_url,image_url,image_source,affiliate_status,source_verified,data_confidence,visual_quality,review_status,seo_title,seo_description,status,notes,created_at,updated_at,diff_status,diff_reason,catalog_relation,quality_status
12,wanted-edt,Azzaro,Wanted,EDT,masculino,amaderado especiado,pending,2016,Fabrice Pellegrin; Olivier Cresp,Francia,Amaderado especiado masculino con imagen de héroe de western moderno.,limon;jengibre;lavanda;menta,cardamomo de guatemala;enebro;manzana;geranio,vetiver haitiano;haba tonka;madera ambarada,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Azzaro/Wanted-38686.html,pending,pending,no-applicable,true,medium,not-audited,pending,Azzaro Wanted,Amaderado especiado masculino con imagen de héroe de western moderno.,draft,"Existe también Azzaro Wanted EDP, producto distinto — se registró específicamente la versión EDT. Datos de Fragrantica (secundaria). price_segment sin fuente confiable.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
15,tresor-edp,Lancôme,Trésor,EDP,femenino,floral pending,pending,1990,Sophia Grojsman,Francia,Floral romántico icónico de los 90; frasco dorado símbolo de feminidad clásica.,durazno;rosa;flor de albaricoque;lila;piña;lirio de los valles;bergamota,rosa;iris;heliotropo;jazmin,durazno;albaricoque;sandalo;vainilla;ambar;almizcle,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Lancome/Tresor-172.html,pending,pending,no-applicable,true,medium,not-audited,pending,Lancôme Trésor,Floral romántico icónico de los 90; frasco dorado símbolo de feminidad clásica.,draft,"Family sin clasificación formal confirmada en fuente consultada, se registró descripción parcial. price_segment sin fuente confiable.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
16,mon-guerlain-edp,Guerlain,Mon Guerlain,EDP,femenino,ambarado amaderado,pending,2017,Thierry Wasser; Delphine Jelk,Francia,Ambarado amaderado moderno; primera fragancia femenina compuesta específicamente con Angelina Jolie como imagen.,lavanda;bergamota,iris;jazmin sambac;rosa,vainilla de tahiti;cumarina;sandalo australiano;regaliz;benjui;pachuli,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-43297.html,pending,pending,no-applicable,true,medium,not-audited,pending,Guerlain Mon Guerlain,Ambarado amaderado moderno; primera fragancia femenina compuesta específicamente con Angelina Jolie como imagen.,draft,"Datos de Fragrantica (fuente secundaria), family confirmada por esa fuente. price_segment sin fuente confiable.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
17,beautiful-edp,Estée Lauder,Beautiful,EDP,femenino,floral,pending,1985,Sophia Grojsman; Bernard Chant; Max Gavarry,Estados Unidos,Floral clásico de los 80; una de las fragancias femeninas más longevas del catálogo Estée Lauder.,rosa;mandarina;lirio;tuberosa;caléndula,azahar;muguet;jazmin;ylang-ylang,sandalo;vetiver;ambar,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Estee-Lauder/Beautiful-528.html;https://www.esteelauder.com/product/9780/2116/product-catalog/fragrance/fragrance-collections/beautiful/beautiful/eau-de-parfum-spray,pending,pending,no-applicable,true,medium,not-audited,pending,Estée Lauder Beautiful,Floral clásico de los 80; una de las fragancias femeninas más longevas del catálogo Estée Lauder.,draft,Equipo de 3 perfumistas confirmado por Fragrantica. price_segment sin fuente confiable.,2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
20,portrait-of-a-lady-edp,Frederic Malle,Portrait of a Lady,EDP,femenino,floral chipre,pending,2010,Dominique Ropion,Francia,"Chipre floral opulento; rosa intensa sobre pachulí, uno de los perfumes de nicho más aclamados de la década 2010.",rosa,grosella negra;frambuesa;clavo,pachuli;sandalo;incienso,,,,pending,pending,lujo,pending,https://www.fredericmalle.com/product/19566/50241/parfums/portrait-of-a-lady/by-dominique-ropion,pending,pending,no-applicable,true,high,not-audited,pending,Frederic Malle Portrait of a Lady,"Chipre floral opulento; rosa intensa sobre pachulí, uno de los perfumes de nicho más aclamados de la década 2010.",draft,"Family confirmada en sitio oficial. Pirámide confirmada en sección 'Details' del sitio oficial; nota: la sección 'Description' del mismo sitio da una versión resumida distinta — se usó la versión más granular ('Details'). Precio oficial confirmado: $295/50ml, $470/100ml.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
21,musc-ravageur-edp,Frederic Malle,Musc Ravageur,EDP,unisex,ambarado,pending,2000,Maurice Roucel,Francia,Ambarado almizclado sensual; uno de los primeros lanzamientos de la casa Frederic Malle.,lavanda;mandarina;bergamota;cilantro;neroli,canela;clavo;raiz de orris;rosa;osmanthus,musgo;vainilla;haba tonka;ambar;sandalo;guayaco;cedro;notas animales;pachuli,,,,pending,pending,lujo,pending,https://www.fredericmalle.com/musc-ravageur,pending,pending,no-applicable,true,medium,not-audited,pending,Frederic Malle Musc Ravageur,Ambarado almizclado sensual; uno de los primeros lanzamientos de la casa Frederic Malle.,draft,"El sitio oficial vigente NO publica pirámide con niveles para este producto — solo describe 'almizcles, puntuados con ámbar, vainilla, pachulí y sándalo'. La pirámide completa reportada proviene de Fragrantica (fuente secundaria), documentada así explícitamente. Precio oficial confirmado: $275/50ml, $410/100ml.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
23,wonderwood-edp,Comme des Garçons,Wonderwood,EDP,masculino,amaderado,pending,2010,Antoine Lie,pending,Amaderado seco y ahumado; interpretación conceptual y arquitectónica de la madera por Comme des Garçons.,bergamota;alcaravea,pimienta de madagascar;nuez moscada;pachuli,cedro de virginia;sandalo;cipres;vetiver;madera de guayaco;incienso;agarwood (oud);cashmeran,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Comme-des-Garcons/Wonderwood-8991.html,pending,pending,no-applicable,true,low,not-audited,pending,Comme des Garçons Wonderwood,Amaderado seco y ahumado; interpretación conceptual y arquitectónica de la madera por Comme des Garçons.,draft,"REEMPLAZO DE CONCENTRACIÓN: el encargo original pedía 'Wonderwood Eau de Toilette', que no se pudo confirmar como existente en ninguna fuente consultada — todas las fuentes documentan únicamente Eau de Parfum (2010). Se sustituyó por la EDP real. Notas sin verificar en sitio oficial de CDG parfums (no se accedió en esta investigación) — datos de Fragrantica, fuente secundaria únicamente. country NO VERIFICADO.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
24,colonia-edc,Acqua di Parma,Colonia,EDC,unisex,citrico,pending,1916,pending,Italia,"Cítrico clásico italiano desde 1916; la fragancia fundacional de la maison, elegancia atemporal.",limon;naranja dulce;bergamota de calabria,lavanda;rosa;verbena;romero,vetiver;sandalo;pachuli,,,,pending,pending,pending,pending,https://www.acquadiparma.com/default/en/colonia---splash/COLONIAEDCSPLASH.html;https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-1681.html,pending,pending,no-applicable,true,low,not-audited,pending,Acqua di Parma Colonia,"Cítrico clásico italiano desde 1916; la fragancia fundacional de la maison, elegancia atemporal.",draft,"Perfumista atribuido a 'Baron Carlo Magnani' es una atribución histórica de fuente secundaria (creador original de la fórmula en 1916, no un perfumista profesional en sentido moderno) — no confirmado en sitio oficial directamente. Pirámide de notas de fuente secundaria (Fragrantica), no verificada línea por línea en acquadiparma.com. price_segment sin precio confiable capturado.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
26,no1-masculine-parfum,Clive Christian,No. 1 Masculine,Parfum,masculino,amaderado floral polvoriento,pending,2001,pending,Reino Unido,Amaderado floral de ultra lujo; sándalo envejecido 50 años como nota distintiva de la casa británica.,cardamomo;nuez moscada;lima;paprika;artemisa;mandarina;pomelo;alcaravea,iris;ylang-ylang;jazmin;lirio de los valles;heliotropo;rosa,sandalo (envejecido 50 años);ambar;almizcle;vainilla;haba tonka;cedro de virginia;vetiver,,,,pending,pending,lujo,pending,https://us.clivechristian.com/products/no1-masculine;https://www.parfumo.com/Perfumes/Clive_Christian/no-1-for-men,pending,pending,no-applicable,true,low,not-audited,pending,Clive Christian No. 1 Masculine,Amaderado floral de ultra lujo; sándalo envejecido 50 años como nota distintiva de la casa británica.,draft,"Existen versión masculina y femenina de 'No. 1', lanzadas juntas en 2001 — se registró la masculina por mayor prominencia en el sitio oficial. Concentración 'Parfum' NO confirmada al 100% como extrait puro — el sitio no especifica el porcentaje de concentración explícitamente. Pirámide de notas de fuente secundaria (Parfumo), no confirmada en clivechristian.com directamente. Perfumista no encontrado en ninguna fuente. data_confidence bajo.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
27,more-than-words-edp,Xerjoff,More Than Words,EDP,unisex,amaderado floral,pending,2012,pending,Italia,De la colección 'Join The Club'; una fragancia cuyas notas la marca mantiene deliberadamente en secreto.,NO VERIFICADO - marca no divulga,NO VERIFICADO - marca no divulga,NO VERIFICADO - marca no divulga,,,,pending,pending,lujo,pending,https://www.xerjoff.com/en-us/products/more-than-words-eau-de-parfum,pending,pending,no-applicable,true,medium,not-audited,pending,Xerjoff More Than Words,De la colección 'Join The Club'; una fragancia cuyas notas la marca mantiene deliberadamente en secreto.,draft,"REEMPLAZO DE PRODUCTO INEXISTENTE: el encargo original pedía 'Xerjoff More Than Water', que NO EXISTE en el catálogo de la marca — verificado negativo en xerjoff.com. Se sustituyó por 'More Than Words', producto real de la misma marca y colección. IMPORTANTE: Xerjoff declara explícitamente en su ficha de producto que las notas de toda la colección 'Join The Club' son secreto guardado — no se reporta ninguna lista de notas de terceros como si fuera oficial. family='Woody, Floral' es el 'Scent Profile' textual de la propia marca (no tag de navegación). Perfumista y launch_year solo confirmados por fuente secundaria consistente, no por xerjoff.com. Precio oficial confirmado: $174/50ml, $281/100ml.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
28,jubilation-xxv-man-edp,Amouage,Jubilation XXV Man,EDP,masculino,amaderado,pending,2007,Bertrand Duchaufour,Oman,Amaderado oriental de aniversario; complejidad especiada y resinosa característica de la alta perfumería de Amouage.,labdano;cilantro;naranja;davana;incienso;mora,miel;laurel;canela;orquidea;rosa;clavo;semillas de apio;madera de guayaco,pachuli;opoponax;mirra;cedro;almizcle;musgo;ambar gris;oud;siempreviva,,,,pending,pending,lujo,pending,https://amouage.com/products/jubilation-xxv-man,pending,pending,no-applicable,true,high,not-audited,pending,Amouage Jubilation XXV Man,Amaderado oriental de aniversario; complejidad especiada y resinosa característica de la alta perfumería de Amouage.,draft,"Family y pirámide completa confirmadas en sitio oficial amouage.com. Perfumista (Bertrand Duchaufour) y launch_year (2007) no confirmados explícitamente en la ficha oficial consultada, aunque son atribución pública ampliamente documentada — marcado como fuente secundaria para esos dos campos específicos. Precio oficial confirmado: $395/100ml.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
29,jubilation-25-woman-edp,Amouage,Jubilation 25 Woman,EDP,femenino,floral aldehido,aldehido,pending,Lucas Sieuzac,Oman,"Floral aldehído de aniversario; contraparte femenina de Jubilation, con rosa y azafrán sobre resinas.",estragon;rosa;limon;ylang-ylang,davana;labdano;rosa;incienso,ambar;almizcle;vetiver;mirra;pachuli,,,,pending,pending,lujo,pending,https://amouage.com/products/jubilation-25-woman,pending,pending,no-applicable,true,high,not-audited,pending,Amouage Jubilation 25 Woman,"Floral aldehído de aniversario; contraparte femenina de Jubilation, con rosa y azafrán sobre resinas.",draft,"Nombre exacto confirmado en sitio oficial: 'Jubilation 25 Woman' (no 'Jubilation Woman'). Family y subfamily (Floral | Aldehyde) y perfumista (Lucas Sieuzac, con biografía incluida en la ficha) confirmados en sitio oficial. launch_year NO aparece en la página de producto consultada — queda pending. Precio oficial confirmado: $395/100ml.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
31,straight-to-heaven-white-cristal-edp,By Kilian,"Straight to Heaven, white cristal",EDP,unisex,amaderado,pending,2007,Sidonie Lancesseur,Francia,Amaderado especiado de la colección 'The Cellars'; ron y nuez moscada sobre pachulí y vainilla.,ron;nuez moscada,pachuli,vainilla;madera de cedro,,,,pending,pending,lujo,pending,https://www.bykilian.com/product/19797/50772/perfume/straight-to-heaven-white-cristal/the-cellars,pending,pending,no-applicable,true,medium,not-audited,pending,"By Kilian Straight to Heaven, white cristal",Amaderado especiado de la colección 'The Cellars'; ron y nuez moscada sobre pachulí y vainilla.,draft,"Nombre exacto vigente en catálogo oficial es 'Straight to Heaven, white cristal' (no simplemente 'Straight to Heaven' — esa versión original de 2007 sin el calificador parece haber sido descontinuada/reformulada). Pirámide y perfumista confirmados en sitio oficial. launch_year (2007) corresponde a la versión original, no confirmado si esta variante 'white cristal' tiene fecha propia distinta. price_segment sin precio unitario claro capturado.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
33,not-a-perfume-edp,Juliette Has a Gun,Not a Perfume,EDP,unisex,almizclado ambarado,pending,2010,Romano Ricci,Francia,"Fragancia mono-molecular de Cetalox; concepto minimalista, 'el no-perfume' que huele a piel limpia.",cetalox,cetalox,cetalox,,,,pending,pending,medio,pending,https://us.juliettehasagun.com/products/not-a-perfume,pending,pending,no-applicable,true,high,not-audited,pending,Juliette Has a Gun Not a Perfume,"Fragancia mono-molecular de Cetalox; concepto minimalista, 'el no-perfume' que huele a piel limpia.",draft,"Confirmado en sitio oficial: fragancia mono-molecular, la pirámide completa oficial es Cetalox en los 3 niveles (caso especial, no error de transcripción). Romano Ricci está citado como 'creator' en el sitio, no está claro si es el perfumista técnico o solo el director creativo — se registra igual con esta salvedad documentada. price_segment: precio oficial confirmado ($34) corresponde al formato travel spray 7.5ml, no al tamaño estándar — se registra 'medio' con cautela, ver notes para el detalle del precio real.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
34,rien-edp,Etat Libre d'Orange,Rien,EDP,unisex,amaderado especiado,pending,2006,Antoine Lie,Francia,Amaderado especiado provocador; cuero y pimienta negra en la firma irreverente de la casa francesa.,pimienta negra;safraleine (acorde azafran-cuero);esencia de incienso orpur,cuero;iris absoluto;cistus absoluto,esencia de pachuli orpur;esencia de vetiver orpur;musgo de arbol,,,,pending,pending,premium,pending,https://www.etatlibredorange.com/products/rien,pending,pending,no-applicable,true,high,not-audited,pending,Etat Libre d'Orange Rien,Amaderado especiado provocador; cuero y pimienta negra en la firma irreverente de la casa francesa.,draft,"Family confirmada en sitio oficial ('Woody, Spicy'). Precio oficial confirmado en euros: 160€/100ml, 105€/50ml — no convertido a USD, se deja price_segment como estimación 'premium' con esta salvedad.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
35,taif-edp,Ormonde Jayne,Ta'if,EDP,unisex,floral ambarado,ambarado,2004,Geza Schoen,Reino Unido,Floral ambarado inspirado en la ciudad árabe de las rosas; dátiles y azafrán sobre vainilla ugandesa.,pimienta rosa;azafran;datiles,acorde de rosa;fresia;absoluto de azahar;jazmin,absoluto de vainilla ugandesa;retama;ambar,,,,pending,pending,lujo,pending,https://ormondejayne.com/en-us/products/ta-if-1,pending,pending,no-applicable,true,medium,not-audited,pending,Ormonde Jayne Ta'if,Floral ambarado inspirado en la ciudad árabe de las rosas; dátiles y azafrán sobre vainilla ugandesa.,draft,"CONFLICTO DE VERSIÓN: el sitio oficial vigente muestra una reformulación ('New Parfum Strength') con pirámide distinta a versiones anteriores reportadas por Fragrantica (que no incluye vainilla en base y sí incluye 'Taif Rose'). Se priorizó la versión del sitio oficial vigente según regla 1 del brief, documentando que puede no coincidir con reseñas más antiguas. Precio oficial confirmado: $290/88ml.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
38,green-irish-tweed-edp,Creed,Green Irish Tweed,EDP,masculino,fougere aromatico,verde y maderas musgosas,1985,pending,Francia,"Fougère aromático fresco; menta y violeta sobre sándalo, un referente masculino desde los 80.",menta;verbena;limon;bergamota;galbano,geranio;lavanda;violeta,sandalo;cedro;ambroxan;musgo de roble,,,,pending,pending,lujo,pending,https://creedboutique.com/products/green-irish-tweed,pending,pending,no-applicable,true,high,not-audited,pending,Creed Green Irish Tweed,"Fougère aromático fresco; menta y violeta sobre sándalo, un referente masculino desde los 80.",draft,"Family y subfamily confirmadas en sitio oficial creedboutique.com. Perfumista (Pierre Bourdon, con Olivier Creed) es atribución de fuente secundaria ampliamente documentada, no confirmada en la ficha oficial. Precio oficial confirmado: $490/50ml (tamaño más chico disponible).",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
39,millesime-imperial-edp,Creed,Millésime Impérial,EDP,unisex,citrico marino y amaderado,marino y amaderado,1995,pending,Francia,Cítrico marino inspirado en el Mediterráneo; bergamota y acorde salino sobre maderas limpias.,bergamota;grosella negra;hojas de violeta,iris;acorde marino salino,madera de cedro;almizcle;sandalo,,,,pending,pending,lujo,pending,https://creedboutique.com/products/millesime-imperial,pending,pending,no-applicable,true,high,not-audited,pending,Creed Millésime Impérial,Cítrico marino inspirado en el Mediterráneo; bergamota y acorde salino sobre maderas limpias.,draft,"Family y subfamily confirmadas en sitio oficial. launch_year de Fragrantica (secundaria), no confirmado explícitamente en oficial. Perfumista NO VERIFICADO en ninguna fuente consultada. Precio oficial confirmado: $490/50ml.",2026-08-07,2026-08-07,NEW,,NEW,CATALOG_READY_WITH_PENDING
