slug,nombre,marca,genero,familia_olfativa,notas_salida,notas_corazon,notas_fondo,precio_referencia,moneda,categoria_precio,imagen_url,link_afiliado,descripcion_corta,nicho_o_comercial
eau-sauvage-parfum,Eau Sauvage Parfum,Dior,masculino,amaderado aromatico,bergamota;albahaca,jazmin,sandalo;ambar;patchouli,135.00,USD,premium,https://m.media-amazon.com/images/I/51nRPwrC07L._SL1024_.jpg,https://www.amazon.com/dp/B0083WWRIK?tag=aromialab-20,"La misma columna citrica de Eau Sauvage, reforzada con ambar y maderas para mas cuerpo.",comercial
erba-pura,Erba Pura,Xerjoff,unisex,afrutado citrico,piña;bergamota;mandarina,jazmin;flor de azahar,almizcle;vainilla,280.00,USD,lujo,https://m.media-amazon.com/images/I/51h-KPGkCWL._SL1500_.jpg,https://www.amazon.com/dp/B0CZTW6FZ7?tag=aromialab-20,"Tropical y dulce, viral en redes por su salida a piña fresca.",nicho
eros,Eros,Versace,masculino,aromatico afrutado,menta;manzana verde,tonka;geranio;salvia,vainilla;cedro;vetiver,95.00,USD,económico,https://cdn.notinoimg.com/detail_main_hq/versace/8011003813858_01-o/eros___180110.jpg,https://www.amazon.com/s?k=Eros%20Versace&tag=aromialab-20,"Dulce y potente, uno de los favoritos para salir de noche.",comercial
fahrenheit,Fahrenheit,Dior,masculino,amaderado especiado,mandarina;lavanda;cedro,violeta;nuez moscada,cuero;sandalo;ambar,106.99,USD,medio,https://m.media-amazon.com/images/I/512wi7t5OpL._SL1500_.jpg,https://www.amazon.com/dp/B0117YTLQG?tag=aromialab-20,Icono de 1988: violeta y cuero con esa nota a gasolina/flor que lo hizo inconfundible.,comercial
fahrenheit-parfum,Fahrenheit Parfum,Dior,masculino,ambarado especiado,mandarina;lavanda,violeta;nuez moscada,cuero;ambar;sandalo,120.98,USD,medio,https://m.media-amazon.com/images/I/51HNBb9sGyL._SL1024_.jpg,https://www.amazon.com/dp/B00I9H02DG?tag=aromialab-20,"Fahrenheit concentrado: mas ambar y cuero, menos proyeccion citrica de salida.",comercial
flowerbomb,Flowerbomb,Viktor & Rolf,femenino,floral oriental,bergamota;te verde,jazmin;rosa centifolia;orquidea,pachuli;vainilla;ambar,135.00,USD,premium,https://m.media-amazon.com/images/I/51KRyUmvmcL._SL1500_.jpg,https://www.amazon.com/dp/B0010VY4HI?tag=aromialab-20,"Explosion floral dulce muy longeva, ideal para eventos.",comercial
fucking-fabulous,Fucking Fabulous,Tom Ford,unisex,almizclado amaderado,coñac,lavanda;almizcle,vainilla;madera de sandalo,290.00,USD,lujo,https://media.douglas.de/medias/axNAsc096296-1-global.jpg?context=bWFzdGVyfGltYWdlc3wzNzg2NTh8aW1hZ2UvanBlZ3xhRGcxTDJnMlpDODJPRFU0TmpBM09UYzRNRGc1TkM5aGVFNUJjMk13T1RZeU9UWmZNVjluYkc5aVlXd3VhbkJufDUxMmQxZjM4YWNlNzYyMGM3Yjc3MWE2MzhhYzFlODQ5ZDhjY2I1YjIwZjNmN2IxNTM0N2IzNWExZDQ5NGE4Nzg&grid=true,https://www.amazon.com/s?k=Fucking%20Fabulous%20Tom%20Ford&tag=aromialab-20,Almizcle cremoso y sensual con nombre provocador; culto en redes.,nicho
good-girl,Good Girl,Carolina Herrera,femenino,floral amaderado,almendra;cafe;bergamota,jazmin sambac;tuberosa;azucena,cacao;haba tonka;vainilla,135.00,USD,premium,https://m.media-amazon.com/images/I/51Qo6szNjLL._SL1500_.jpg,https://www.amazon.com/dp/B09B678JQC?tag=aromialab-20,Frasco taco de aguja; dulzor floral intenso para noche.,comercial
good-girl-gone-bad,Good Girl Gone Bad,Kilian,femenino,floral afrutado,mandarina;jazmin sambac,jazmin;flor de azahar,almizcle;madera de sandalo,325.00,USD,lujo,https://media.douglas.de/medias/iiYH0N531994-1-dgl-DE.jpg?context=bWFzdGVyfGltYWdlc3w0Mzk1NjR8aW1hZ2UvanBlZ3xhR1JqTDJobU9TODBOelEwTnpZME56UTROVGs0TWk5cGFWbElNRTQxTXpFNU9UUmZNVjlrWjJ3dFJFVXVhbkJufDBiZTc5MmEyYTA0MTU5NDNmNDliM2RjY2QyNGNiNjFmNDI3Y2ZlNDJmM2E4ZDM4MGQ4ZTI4N2IzNDRkYzJmMTk&grid=true,https://www.amazon.com/s?k=Good%20Girl%20Gone%20Bad%20Kilian&tag=aromialab-20,"Floral blanco sensual, en frasco recargable de lujo.",nicho
herod,Herod,Parfums de Marly,masculino,ambarado especiado,cardamomo;canela,tabaco;azafran,vainilla;haba tonka;ambar,340.00,USD,lujo,https://m.media-amazon.com/images/I/31Je7uvR-HL._SL1500_.jpg,https://www.amazon.com/s?k=Herod%20Parfums%20de%20Marly&tag=aromialab-20,"Oriental potente y dulce, favorito de invierno en comunidades de nicho.",nicho
hypnotic-poison,Hypnotic Poison,Dior,femenino,oriental gourmand,almendra amarga;albaricoque;coco,jazmin sambac,vainilla;haba tonka;sandalo,134.82,USD,premium,https://m.media-amazon.com/images/I/51SO11eGDLL._SL1000_.jpg,https://www.amazon.com/dp/B000E7UDWO?tag=aromialab-20,"Almendra y vainilla en una formula oriental gourmand densa, de las mas reconocibles de los 90.",comercial
idole-edp,Idole EDP,Lancome,femenino,floral almizclado,bergamota,rosa;jazmin,almizcle blanco;vainilla,120.00,USD,medio,https://cdn.notinoimg.com/detail_main_mq/lancome/3614273069175_01-o/idole___200819.jpg,https://www.amazon.com/s?k=Idole%20EDP%20Lancome&tag=aromialab-20,Floral limpio y moderno pensado para uso diario.,comercial
interlude-man,Interlude Man,Amouage,masculino,oriental especiado,incienso;bergamota,clavo;canela;lavanda,ambar;cuero;vainilla,340.00,USD,lujo,https://m.media-amazon.com/images/I/61wCYX-x36L._SL1500_.jpg,https://www.amazon.com/dp/B0BYTJ68R2?tag=aromialab-20,Compleja tormenta de especias e incienso; para quien busca intensidad.,nicho
j-adore-edp,J'adore EDP,Dior,femenino,floral,mandarina;bergamota,jazmin;rosa damascena;ylang ylang,almizcle blanco,145.00,USD,premium,https://cdn.notinoimg.com/detail_main_mq/dior/3348901738231_01/jadore___241218.jpg,https://www.amazon.com/s?k=J'adore%20EDP%20Dior&tag=aromialab-20,"Floral luminoso y clasico, imagen de elegancia atemporal.",comercial
la-vie-est-belle,La Vie Est Belle,Lancome,femenino,floral afrutado gourmand,pera;grosella negra,jazmin;azahar;iris,praline;vainilla;patchouli,130.00,USD,premium,https://cdn.notinoimg.com/detail_main_hq/lancome/3605533286555_01-o/la-vie-est-belle___250312.jpg,https://www.amazon.com/dp/B0BC3YNMZN?tag=aromialab-20,Dulzor de praline con base golosa; muy popular como regalo.,comercial
layton,Layton,Parfums de Marly,masculino,aromatico fougere,manzana;bergamota;lavanda,geranio;canela violeta,vainilla;sandalo;haba tonka,325.00,USD,lujo,https://m.media-amazon.com/images/I/61wXNLe0iaL._SL1500_.jpg,https://www.amazon.com/dp/B072WCC7HB?tag=aromialab-20,"Dulce y elegante, uno de los nicho masculinos mas recomendados en foros.",nicho
le-male,Le Male,Jean Paul Gaultier,masculino,aromatico fougere,menta;lavanda;bergamota,canela;comino,vainilla;sandalo;ambar,105.00,USD,medio,https://m.media-amazon.com/images/I/51axP1TADaL._SL1500_.jpg,https://www.amazon.com/dp/B0733677R6?tag=aromialab-20,Icono de los 90 con frasco de torso masculino; fresco y dulce a la vez.,comercial
libre-edp,Libre EDP,Yves Saint Laurent,femenino,floral aromatico,lavanda;mandarina,flor de azahar;jazmin,vainilla;madera de cachemira;almizcle,140.00,USD,premium,https://m.media-amazon.com/images/I/51v0HbffdGL._SL1000_.jpg,https://www.amazon.com/dp/B07X1YGWSX?tag=aromialab-20,"Contraste entre lavanda fresca y vainilla calida, muy popular actualmente.",comercial
light-blue,Light Blue,Dolce & Gabbana,femenino,floral afrutado,limon siciliano;manzana verde,jazmin;rosa blanca,cedro;almizcle,110.00,USD,medio,https://m.media-amazon.com/images/I/41KgNYHnLFL._SL1500_.jpg,https://www.amazon.com/dp/B0F6NVR4BX?tag=aromialab-20,"Fresco mediterraneo, ideal para climas calidos y dia a dia.",comercial
miss-dior-blooming-bouquet,Miss Dior Blooming Bouquet,Dior,femenino,floral afrutado,mandarina siciliana;naranja sanguina,peonia;rosa,almizcle blanco,179.72,USD,premium,https://m.media-amazon.com/images/I/51E4e-ssTDL._SL1000_.jpg,https://www.amazon.com/dp/B018URFZIG?tag=aromialab-20,Floral afrutado luminoso de peonia y rosa; la version mas fresca y accesible de Miss Dior.,comercial
miss-dior-edp,Miss Dior EDP,Dior,femenino,floral chipre,mandarina;bayas rosas,peonia;rosa centifolia;lirio de los valles,pachuli;almizcle,150.00,USD,premium,https://m.media-amazon.com/images/I/51bTkvCCQSL._SL1024_.jpg,https://www.amazon.com/dp/B09FY98RSG?tag=aromialab-20,"Romantico y fresco, actualizacion moderna de un clasico chipre.",comercial
molecule-01,Molecule 01,Escentric Molecules,unisex,almizclado mineral,iso e super,iso e super,iso e super,145.00,USD,premium,https://cdn.notinoimg.com/detail_main_mq/escentric-molecules/5060103310029_01-o/molecule-01___250512.jpg,https://www.amazon.com/s?k=Molecule%2001%20Escentric%20Molecules&tag=aromialab-20,Fragancia de una sola molecula; huele distinto segun la piel.,nicho
nishane-hacivat,Nishane Hacivat,Nishane,unisex,afrutado amaderado,pera;bergamota,pistacho;iris,almizcle;madera de cedro,250.00,USD,premium,https://cdn.notinoimg.com/detail_main_mq/nishane/8681008055388_01-o/hacivat___250317.jpg,https://www.amazon.com/s?k=Nishane%20Hacivat%20Nishane&tag=aromialab-20,Gourmand seco con nota de pistacho poco comun; distintivo turco de culto.,nicho
oud-wood,Oud Wood,Tom Ford,unisex,amaderado,cardamomo;pimienta china,oud;sandalo;palo de rosa,vainilla;ambar,320.00,USD,lujo,https://m.media-amazon.com/images/I/61HCNHc5LeL._SL1500_.jpg,https://www.amazon.com/dp/B01APUYR9E?tag=aromialab-20,"Interpretacion occidental del oud, suave y elegante sin ser abrumador.",nicho
pure-poison,Pure Poison,Dior,femenino,floral almizclado,,jazmin sambac;flor de azahar;ambar,almizcle;vainilla,159.25,USD,premium,https://m.media-amazon.com/images/I/51HJRYVjLHL._SL1024_.jpg,https://www.amazon.com/dp/B000LCU2EG?tag=aromialab-20,Floral blanco puro de jazmin y azahar sobre un fondo almizclado limpio.,comercial
reflection-man,Reflection Man,Amouage,masculino,floral amaderado,bergamota;romero,geranio;jazmin;rosa,sandalo;cedro;almizcle,300.00,USD,lujo,https://m.media-amazon.com/images/I/61yifiaONJL._SL1500_.jpg,https://www.amazon.com/dp/B0C3LGBPYX?tag=aromialab-20,"Floral masculino sofisticado, poco comun y muy elegante.",nicho
sauvage-edp,Sauvage EDT,Dior,masculino,aromatico fresco,bergamota de calabria,pimienta de sichuan;lavanda,ambroxan;cedro,150.00,USD,premium,https://m.media-amazon.com/images/I/51F8MEfiKgL._SL1000_.jpg,https://www.amazon.com/dp/B000RO0NOW?tag=aromialab-20,El mas vendido del mercado masculino; potencia y estela altas.,comercial
sauvage-elixir,Sauvage Elixir,Dior,masculino,aromatico especiado,cardamomo;nuez moscada;canela,lavanda,ambar;haba tonka;sandalo;vainilla,212.99,USD,premium,https://m.media-amazon.com/images/I/51gWkHSwhmL._SL1500_.jpg,https://www.amazon.com/dp/B0BCWG85TB?tag=aromialab-20,"Flanker intenso y especiado de Sauvage, en concentracion Elixir de mayor densidad.",comercial
silver-mountain-water,Silver Mountain Water,Creed,unisex,afrutado verde,bergamota;te verde;grosella negra,peonia;musgo verde,sandalo;almizcle,240.00,USD,premium,https://media.douglas.de/medias/qx8ldD988604-1-global.jpg?context=bWFzdGVyfGltYWdlc3wxMDYyMjl8aW1hZ2UvanBlZ3xhRGRtTDJnME1pODJPVGd4TlRZeE1URTVOVFF5TWk5eGVEaHNaRVE1T0RnMk1EUmZNVjluYkc5aVlXd3VhbkJufDA0MzBmY2RjZDdhNjNiOThlNWViNTZiOTUyMjBlN2M3OTg2NmRkZmVlMDUyMzc5MjNiMGE0NGNhNWMwMzNlNjI&grid=true,https://www.amazon.com/s?k=Silver%20Mountain%20Water%20Creed&tag=aromialab-20,"Fresco y elegante, favorito en climas calidos entre conocedores.",nicho
stronger-with-you,Stronger With You,Emporio Armani,masculino,aromatico especiado,pomelo rosa;pimienta rosa,lavanda;salvia,vainilla;haba tonka;avellana,95.00,USD,económico,https://cdn.notinoimg.com/detail_main_mq/armani/03605522040588_01-o/emporio-stronger-with-you___171020.jpg,https://www.amazon.com/s?k=Stronger%20With%20You%20Emporio%20Armani&tag=aromialab-20,"Calido y accesible, buena puerta de entrada a los orientales dulces.",comercial
terre-d-hermes-edt,Terre d'Hermes EDT,Hermes,masculino,amaderado especiado,pomelo;naranja,pimienta;geranio,vetiver;cedro;patchouli,135.00,USD,premium,https://m.media-amazon.com/images/I/51-fFGx+Y3L._SL1024_.jpg,https://www.amazon.com/dp/B09N3WKW1S?tag=aromialab-20,"Mineral y terroso, referencia de elegancia francesa masculina.",comercial
versace-pour-homme,Versace Pour Homme,Versace,masculino,aromatico fresco,limon;bergamota;ciruela,geranio;clary sage,almizcle;madera de cedro;caoba,90.00,USD,económico,https://cdn.notinoimg.com/detail_main_hq/versace/8011003995967_01-o/pour-homme___220510.jpg,https://www.amazon.com/s?k=Versace%20Pour%20Homme%20Versace&tag=aromialab-20,Fresco clasico y accesible para uso diario en climas calidos.,comercial
wood-sage-sea-salt,Wood Sage & Sea Salt,Jo Malone,unisex,amaderado acuatico,notas de ambar gris;sal marina,salvia,madera a la deriva;musgo,155.00,USD,premium,https://m.media-amazon.com/images/I/61nj0JW-gyL._SL1500_.jpg,https://www.amazon.com/s?k=Wood%20Sage%20%26%20Sea%20Salt%20Jo%20Malone&tag=aromialab-20,"Minimalista y evocador de playa, muy popular entre quienes buscan discrecion.",nicho
y-edp,Y EDP,Yves Saint Laurent,masculino,amaderado aromatico,manzana;bergamota,salvia;geranio,haba tonka;vetiver;ambar,130.00,USD,premium,https://m.media-amazon.com/images/I/61ToOO2wMgL._SL1500_.jpg,https://www.amazon.com/dp/B07GB6B37N?tag=aromialab-20,"Fresco amaderado versatil, buen equilibrio precio-calidad en gama premium.",comercial
