perfume_slug,perfume_name,brand,image_role,source_url,source_domain,local_file,license_status,original_width,original_height,aspect_ratio,background_type,product_crop,visual_quality,needs_processing,processing_status,final_file,reviewed_by,review_date,notes
chance-eau-tendre,Chance Eau Tendre,Chanel,editorial-hero,apps/web/public/ovl/chance-eau-tendre.jpg,not-applicable,apps/web/public/ovl/chance-eau-tendre.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
ck-one,CK One,Calvin Klein,catalog-primary,https://cdn.notinoimg.com/detail_main_hq/calvin-klein/088300607433_01-o/ck-one___220831.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
ck-one,CK One,Calvin Klein,editorial-hero,apps/web/public/ovl/ck-one.jpg,not-applicable,apps/web/public/ovl/ck-one.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
delina,Delina,Parfums de Marly,catalog-primary,https://m.media-amazon.com/images/I/419m37SbQ-L._SL1000_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
delina,Delina,Parfums de Marly,editorial-hero,apps/web/public/ovl/delina.jpg,not-applicable,apps/web/public/ovl/delina.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
dior-addict-edp,Addict EDP,Dior,catalog-primary,https://m.media-amazon.com/images/I/41joEbQYYIL._SL1023_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
dior-addict-edp,Addict EDP,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
dior-homme-cologne,Homme Cologne,Dior,catalog-primary,https://m.media-amazon.com/images/I/51P0LBWT9rL._SL1000_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
dior-homme-cologne,Homme Cologne,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
dior-homme-intense,Homme Intense,Dior,catalog-primary,https://m.media-amazon.com/images/I/61Edua7lz0L._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
dior-homme-intense,Homme Intense,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
dior-homme-parfum,Homme Parfum,Dior,catalog-primary,https://m.media-amazon.com/images/I/71wWeQhyyTL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
dior-homme-parfum,Homme Parfum,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
eau-sauvage,Eau Sauvage,Dior,catalog-primary,https://m.media-amazon.com/images/I/61lKYZQC34L._SL1000_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
eau-sauvage,Eau Sauvage,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
eau-sauvage-parfum,Eau Sauvage Parfum,Dior,catalog-primary,https://m.media-amazon.com/images/I/51nRPwrC07L._SL1024_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
eau-sauvage-parfum,Eau Sauvage Parfum,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
erba-pura,Erba Pura,Xerjoff,catalog-primary,https://m.media-amazon.com/images/I/51h-KPGkCWL._SL1500_.jpg,m.media-amazon.com,not-applicable,affiliate-approved,1500,1500,1:1,white-studio,full-bottle,high,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. Piloto Fase 2 — revisión 2026-08-05: imagen verificada en vivo (1500x1500px). Fondo blanco de estudio, botella completa Xerjoff Erba Pura sin cortes, alta nitidez, sin watermark de retailer. No verificado en esta pasada si corresponde a la misma pieza de IA histórica mencionada en decisión #26 de ESTADO-aromia.md (fuera de alcance de este brief). Sin otros hallazgos."
erba-pura,Erba Pura,Xerjoff,editorial-hero,apps/web/public/ovl/erba-pura.jpg,not-applicable,apps/web/public/ovl/erba-pura.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
eros,Eros,Versace,catalog-primary,https://cdn.notinoimg.com/detail_main_hq/versace/8011003813858_01-o/eros___180110.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
eros,Eros,Versace,editorial-hero,apps/web/public/ovl/eros.jpg,not-applicable,apps/web/public/ovl/eros.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
fahrenheit,Fahrenheit,Dior,catalog-primary,https://m.media-amazon.com/images/I/512wi7t5OpL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
fahrenheit,Fahrenheit,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
fahrenheit-parfum,Fahrenheit Parfum,Dior,catalog-primary,https://m.media-amazon.com/images/I/51HNBb9sGyL._SL1024_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
fahrenheit-parfum,Fahrenheit Parfum,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
flowerbomb,Flowerbomb,Viktor & Rolf,catalog-primary,https://m.media-amazon.com/images/I/51KRyUmvmcL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
flowerbomb,Flowerbomb,Viktor & Rolf,editorial-hero,apps/web/public/ovl/flowerbomb.jpg,not-applicable,apps/web/public/ovl/flowerbomb.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
fucking-fabulous,Fucking Fabulous,Tom Ford,catalog-primary,https://media.douglas.de/medias/axNAsc096296-1-global.jpg?context=bWFzdGVyfGltYWdlc3wzNzg2NTh8aW1hZ2UvanBlZ3xhRGcxTDJnMlpDODJPRFU0TmpBM09UYzRNRGc1TkM5aGVFNUJjMk13T1RZeU9UWmZNVjluYkc5aVlXd3VhbkJufDUxMmQxZjM4YWNlNzYyMGM3Yjc3MWE2MzhhYzFlODQ5ZDhjY2I1YjIwZjNmN2IxNTM0N2IzNWExZDQ5NGE4Nzg&grid=true,media.douglas.de,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde media.douglas.de, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
fucking-fabulous,Fucking Fabulous,Tom Ford,editorial-hero,apps/web/public/ovl/fucking-fabulous.jpg,not-applicable,apps/web/public/ovl/fucking-fabulous.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
good-girl,Good Girl,Carolina Herrera,catalog-primary,https://m.media-amazon.com/images/I/51Qo6szNjLL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
good-girl,Good Girl,Carolina Herrera,editorial-hero,apps/web/public/ovl/good-girl.jpg,not-applicable,apps/web/public/ovl/good-girl.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
good-girl-gone-bad,Good Girl Gone Bad,Kilian,catalog-primary,https://media.douglas.de/medias/iiYH0N531994-1-dgl-DE.jpg?context=bWFzdGVyfGltYWdlc3w0Mzk1NjR8aW1hZ2UvanBlZ3xhR1JqTDJobU9TODBOelEwTnpZME56UTROVGs0TWk5cGFWbElNRTQxTXpFNU9UUmZNVjlrWjJ3dFJFVXVhbkJufDBiZTc5MmEyYTA0MTU5NDNmNDliM2RjY2QyNGNiNjFmNDI3Y2ZlNDJmM2E4ZDM4MGQ4ZTI4N2IzNDRkYzJmMTk&grid=true,media.douglas.de,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde media.douglas.de, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
good-girl-gone-bad,Good Girl Gone Bad,Kilian,editorial-hero,apps/web/public/ovl/good-girl-gone-bad.jpg,not-applicable,apps/web/public/ovl/good-girl-gone-bad.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
herod,Herod,Parfums de Marly,catalog-primary,https://m.media-amazon.com/images/I/31Je7uvR-HL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
herod,Herod,Parfums de Marly,editorial-hero,apps/web/public/ovl/herod.jpg,not-applicable,apps/web/public/ovl/herod.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
hypnotic-poison,Hypnotic Poison,Dior,catalog-primary,https://m.media-amazon.com/images/I/51SO11eGDLL._SL1000_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
hypnotic-poison,Hypnotic Poison,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
idole-edp,Idole EDP,Lancome,catalog-primary,https://cdn.notinoimg.com/detail_main_mq/lancome/3614273069175_01-o/idole___200819.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
idole-edp,Idole EDP,Lancome,editorial-hero,apps/web/public/ovl/idole-edp.jpg,not-applicable,apps/web/public/ovl/idole-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
